complaint_id,event_id,student_key,complaint_text,category,template_group,evaluation_fold,campus,zone,facility,facility_type,floor,room,latitude,longitude,day_name,hour,observed_at,impact_rating,severity,occupancy_pct,humidity_pct,recurring,status,resolution_hours,has_image,is_seeded_anomaly,source_system,complaint_clean,full_date,time_band,occupancy_band,humidity_band,impact_normalized,occupancy_standardized,humidity_standardized,service_sessions,report_conversions,mean_dwell_seconds
CL-11449,EV-202512-0289,ANON-0710,"a repeated observation is that a power socket is loose and unsafe in H5 Corridor 2; near the main entrance to the space, and it interrupts scheduled teaching at 16:09 case 1449",Electrical,Electrical:3,3,JIIT Sector 62,Hostels,H5 Boys Hostel,hostel,Floor 2,H5 Corridor 2,28.63075,77.37278,Wednesday,16,2025-12-03T10:39:00+00:00,4,Low,56,81,0,Resolved,5.02,0,0,mobile,a repeated observation is that a power socket is loose and unsafe in h5 corridor 2 near the main entrance to the space and it interrupts scheduled teaching at 16:09 case 1449,2025-12-03,2-4,Medium,High,0.75,-0.36633,1.7559,0.0,0.0,0.0
CL-11993,EV-202601-0398,ANON-0316,"please investigate because the ceiling fans are not operating in TS12; while another campus service remains normal, and the issue lasts more than ten minutes at 17:03 case 1993",Electrical,Electrical:0,0,JIIT Sector 62,Academic & Teaching,A2/1,academic,Floor 1,TS12,28.6301,77.37255,Saturday,17,2026-01-17T11:33:00+00:00,2,High,53,43,0,Resolved,4.84,0,0,web,please investigate because the ceiling fans are not operating in ts12 while another campus service remains normal and the issue lasts more than ten minutes at 17:03 case 1993,2026-01-17,4-7,Medium,Low,0.25,-0.52013,-0.91427,2.0,1.0,55.5
CL-11115,EV-202511-0223,ANON-0338,"DURING THE LATEST SESSION THE COMMON AREA IS OVERCROWDED IN FF6; CAMPUS OPERATIONS ARE BEING DISRUPTED, AND THE ISSUE LASTS MORE THAN TEN MINUTES AT 18:19 CASE 1115   !!!",Other,Other:2,2,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan III,academic,Floor 3,FF6,28.6299,77.37315,Wednesday,18,2025-11-05T12:49:00+00:00,4,Low,47,53,0,Resolved,5.26,0,0,web,during the latest session the common area is overcrowded in ff6 campus operations are being disrupted and the issue lasts more than ten minutes at 18:19 case 1115,2025-11-05,4-7,Medium,Medium,0.75,-0.82772,-0.21159,1.0,1.0,27.0
CL-11906,EV-202601-0381,ANON-0784,"the class representative confirmed that the login portal loops without granting access in CL15-B; and the issue lasts more than ten minutes, and it interrupts scheduled teaching at 18:44 case 1906",Network,Network:9,4,JIIT Sector 62,Labs & Research,CL15,lab,Floor 1,CL15-B,28.62978,77.37254,Saturday,18,2026-01-10T13:14:00+00:00,1,Critical,86,45,0,Verified,5.29,1,0,mobile,the class representative confirmed that the login portal loops without granting access in cl15-b and the issue lasts more than ten minutes and it interrupts scheduled teaching at 18:44 case 1906,2026-01-10,4-7,High,Low,0.0,1.17164,-0.77374,1.0,0.0,35.0
CL-11458,EV-202512-0291,ANON-0151,"please investigate because the service queue is moving very slowly in CL15-B; while the area is moderately occupied, and several students are affected at 12:08 case 1458",Canteen,Canteen:0,0,JIIT Sector 62,Labs & Research,CL15,lab,Floor 1,CL15-B,28.62978,77.37254,Wednesday,12,2025-12-03T06:38:00+00:00,2,High,23,37,1,In Progress,5.98,1,0,mobile,please investigate because the service queue is moving very slowly in cl15-b while the area is moderately occupied and several students are affected at 12:08 case 1458,2025-12-03,10-12,Low,Low,0.25,-2.0581,-1.33588,1.0,0.0,46.0
CL-12511,EV-202603-0502,ANON-0190,"a repeated observation is that internet speed falls below a usable level in G6; and staff assistance has been requested, while the area is moderately occupied at 11:25 case 2511",Network,Network:3,3,JIIT Sector 62,Academic & Teaching,A2/2,academic,Ground Floor,G6,28.63024,77.37275,Sunday,11,2026-03-01T05:55:00+00:00,1,Critical,82,61,0,Resolved,7.71,0,0,web,a repeated observation is that internet speed falls below a usable level in g6 and staff assistance has been requested while the area is moderately occupied at 11:25 case 2511,2026-03-01,10-12,High,Medium,0.0,0.96658,0.35055,3.0,0.0,58.333333333333336
CL-10692,EV-202510-0138,ANON-0567,"for the second time this week the wired connection cannot reach institute services in Gym; while another campus service remains normal, while another campus service remains normal at 18:06 case 692",Network,Network:7,2,JIIT Sector 62,Sports & Recreation,Sports Complex,sports,Ground Floor,Gym,28.63102,77.37322,Wednesday,18,2025-10-01T12:36:00+00:00,2,High,80,51,1,Resolved,5.01,0,0,mobile,for the second time this week the wired connection cannot reach institute services in gym while another campus service remains normal while another campus service remains normal at 18:06 case 692,2025-10-01,4-7,High,Medium,0.25,0.86404,-0.35213,3.0,1.0,28.0
CL-12284,EV-202602-0456,ANON-0413,"the current problem is that the room loses power for short intervals in H4 Corridor 2; the electrical supply needs inspection, and the condition has become more frequent at 8:38 case 2284",Electrical,Electrical:4,4,JIIT Sector 62,Hostels,H4 Boys Hostel,hostel,Floor 2,H4 Corridor 2,28.63062,77.37262,Tuesday,8,2026-02-10T03:08:00+00:00,2,High,74,46,0,Open,4.79,1,0,web,the current problem is that the room loses power for short intervals in h4 corridor 2 the electrical supply needs inspection and the condition has become more frequent at 8:38 case 2284,2026-02-10,8-10,High,Low,0.25,0.55645,-0.70347,0.0,0.0,0.0
CL-12247,EV-202602-0449,ANON-0460,"an urgent maintenance check is needed because the lunch rush is blocking the entrance in Washroom 1; without any warning notice, and staff assistance has been requested at 16:13 case 2247",Canteen,Canteen:8,3,JIIT Sector 62,General & Utilities,Washrooms,utility,Floor 1,Washroom 1,28.62982,77.37326,Saturday,16,2026-02-07T10:43:00+00:00,5,Low,68,61,0,Resolved,4.03,1,0,web,an urgent maintenance check is needed because the lunch rush is blocking the entrance in washroom 1 without any warning notice and staff assistance has been requested at 16:13 case 2247,2026-02-07,2-4,Medium,Medium,1.0,0.24886,0.35055,3.0,0.0,63.666666666666664
CL-11058,EV-202510-0211,ANON-0753,"for the second time this week the device driver is missing from the workstation in CR102; laboratory equipment availability is affected, after normal troubleshooting was attempted at 17:11 case 1058",Lab Equipment,Lab Equipment:7,2,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan II,academic,Floor 1,CR102,28.6297,77.3729,Friday,17,2025-10-31T11:41:00+00:00,2,High,53,53,0,Open,5.49,1,0,web,for the second time this week the device driver is missing from the workstation in cr102 laboratory equipment availability is affected after normal troubleshooting was attempted at 17:11 case 1058,2025-10-31,4-7,Medium,Medium,0.25,-0.52013,-0.21159,1.0,0.0,18.0
CL-11095,EV-202511-0219,ANON-0792,"for the second time this week the lecture-room screen does not lower correctly in CS1; and staff assistance has been requested, and the issue lasts more than ten minutes at 17:12 case 1095",Infrastructure,Infrastructure:7,2,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan III,academic,Floor 1,CS1,28.6299,77.37315,Monday,17,2025-11-03T11:42:00+00:00,4,Low,87,63,0,In Progress,2.61,0,0,web,for the second time this week the lecture-room screen does not lower correctly in cs1 and staff assistance has been requested and the issue lasts more than ten minutes at 17:12 case 1095,2025-11-03,4-7,High,Medium,0.75,1.2229,0.49108,1.0,0.0,32.0
CL-10777,EV-202510-0155,ANON-0406,"a repeated observation is that a power socket is loose and unsafe in CR202; the electrical supply needs inspection, without any warning notice at 8:08 case 777",Electrical,Electrical:3,3,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan II,academic,Floor 2,CR202,28.6297,77.3729,Wednesday,8,2025-10-08T02:38:00+00:00,3,Medium,49,48,0,Resolved,4.5,0,0,mobile,a repeated observation is that a power socket is loose and unsafe in cr202 the electrical supply needs inspection without any warning notice at 8:08 case 777,2025-10-08,8-10,Medium,Low,0.5,-0.72519,-0.56293,5.0,0.0,28.6
CL-11612,EV-202512-0322,ANON-0015,"the class representative confirmed that the equipment interface stops responding during use in H4 Corridor 2; after normal troubleshooting was attempted, after normal troubleshooting was attempted at 10:02 case 1612",Lab Equipment,Lab Equipment:9,4,JIIT Sector 62,Hostels,H4 Boys Hostel,hostel,Floor 2,H4 Corridor 2,28.63062,77.37262,Tuesday,10,2025-12-16T04:32:00+00:00,3,Medium,77,36,0,Verified,6.44,0,0,mobile,the class representative confirmed that the equipment interface stops responding during use in h4 corridor 2 after normal troubleshooting was attempted after normal troubleshooting was attempted at 10:02 case 1612,2025-12-16,8-10,High,Low,0.5,0.71025,-1.40615,4.0,0.0,61.5
CL-11363,EV-202511-0272,ANON-0037,"during the latest session the common area is overcrowded in H4 Corridor 2; campus operations are being disrupted, without any warning notice at 17:45 case 1363",Other,Other:2,2,JIIT Sector 62,Hostels,H4 Boys Hostel,hostel,Floor 2,H4 Corridor 2,28.63062,77.37262,Tuesday,17,2025-11-25T12:15:00+00:00,5,Low,94,66,0,Open,4.02,0,0,mobile,during the latest session the common area is overcrowded in h4 corridor 2 campus operations are being disrupted without any warning notice at 17:45 case 1363,2025-11-25,4-7,High,Medium,1.0,1.58176,0.70189,1.0,0.0,44.0
CL-12654,EV-202603-0530,ANON-0177,"the class representative confirmed that waiting time is longer than the scheduled break in Reading Hall; the food service operation is affected, and the issue lasts more than ten minutes at 13:19 case 2654",Canteen,Canteen:9,4,JIIT Sector 62,Library & Study,LRC,library,Ground Floor,Reading Hall,28.63002,77.37302,Friday,13,2026-03-13T07:49:00+00:00,1,Critical,68,44,0,Resolved,5.59,0,0,web,the class representative confirmed that waiting time is longer than the scheduled break in reading hall the food service operation is affected and the issue lasts more than ten minutes at 13:19 case 2654,2026-03-13,12-2,Medium,Low,0.0,0.24886,-0.844,2.0,0.0,54.0
CL-10793,EV-202510-0158,ANON-0233,"a repeated observation is that internet speed falls below a usable level in G6; after normal troubleshooting was attempted, while the area is moderately occupied at 16:11 case 793",Network,Network:3,3,JIIT Sector 62,Academic & Teaching,A2/2,academic,Ground Floor,G6,28.63024,77.37275,Thursday,16,2025-10-09T10:41:00+00:00,1,Critical,91,62,1,Resolved,6.91,0,0,mobile,a repeated observation is that internet speed falls below a usable level in g6 after normal troubleshooting was attempted while the area is moderately occupied at 16:11 case 793,2025-10-09,2-4,High,Medium,0.0,1.42797,0.42081,2.0,0.0,26.5
CL-10191,EV-202508-0038,ANON-0573,"a repeated observation is that internet speed falls below a usable level in TS11; the network service is affected, and the issue lasts more than ten minutes at 18:23 case 191",Network,Network:3,3,JIIT Sector 62,Academic & Teaching,A2/1,academic,Floor 1,TS11,28.6301,77.37255,Wednesday,18,2025-08-20T12:53:00+00:00,3,Medium,23,68,0,In Progress,6.74,0,0,web,a repeated observation is that internet speed falls below a usable level in ts11 the network service is affected and the issue lasts more than ten minutes at 18:23 case 191,2025-08-20,4-7,Low,Medium,0.5,-2.0581,0.84242,0.0,0.0,0.0
CL-11300,EV-202511-0260,ANON-0784,"today we noticed that charging points are unavailable in H5 Corridor 1; the electrical supply needs inspection, while the area is moderately occupied at 12:16 case 1300",Electrical,Electrical:6,1,JIIT Sector 62,Hostels,H5 Boys Hostel,hostel,Floor 1,H5 Corridor 1,28.63075,77.37278,Thursday,12,2025-11-20T06:46:00+00:00,2,High,75,82,0,Verified,4.17,1,0,web,today we noticed that charging points are unavailable in h5 corridor 1 the electrical supply needs inspection while the area is moderately occupied at 12:16 case 1300,2025-11-20,10-12,High,High,0.25,0.60772,1.82617,2.0,0.0,54.0
CL-12811,EV-202603-0562,ANON-0116,"the current problem is that a chair is blocking the aisle because its leg is broken in G2; the physical infrastructure needs attention, during a regular teaching period at 8:01 case 2811",Infrastructure,Infrastructure:4,4,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan III,academic,Floor 2,G2,28.6299,77.37315,Thursday,8,2026-03-26T02:31:00+00:00,1,Critical,45,65,0,Resolved,4.38,0,0,kiosk,the current problem is that a chair is blocking the aisle because its leg is broken in g2 the physical infrastructure needs attention during a regular teaching period at 8:01 case 2811,2026-03-26,8-10,Medium,Medium,0.0,-0.93026,0.63162,4.0,1.0,55.0
CL-10156,EV-202508-0031,ANON-0451,"please investigate because the ceiling fans are not operating in Group Study; and the issue lasts more than ten minutes, while another campus service remains normal at 17:22 case 156",Electrical,Electrical:0,0,JIIT Sector 62,Library & Study,LRC,library,Floor 1,Group Study,28.63002,77.37302,Sunday,17,2025-08-17T11:52:00+00:00,3,Medium,65,54,1,Open,2.62,0,0,mobile,please investigate because the ceiling fans are not operating in group study and the issue lasts more than ten minutes while another campus service remains normal at 17:22 case 156,2025-08-17,4-7,Medium,Medium,0.5,0.09506,-0.14133,1.0,0.0,42.0
CL-12044,EV-202601-0408,ANON-0228,"today we noticed that multiple computers show storage errors in G5; near the main entrance to the space, and the issue lasts more than ten minutes at 13:48 case 2044",Lab Equipment,Lab Equipment:6,1,JIIT Sector 62,Academic & Teaching,A2/2,academic,Ground Floor,G5,28.63024,77.37275,Wednesday,13,2026-01-21T08:18:00+00:00,4,Low,94,67,1,In Progress,13.43,0,1,kiosk,today we noticed that multiple computers show storage errors in g5 near the main entrance to the space and the issue lasts more than ten minutes at 13:48 case 2044,2026-01-21,12-2,High,Medium,0.75,1.58176,0.77215,3.0,2.0,61.666666666666664
CL-10225,EV-202508-0045,ANON-0669,"the current problem is that the cooler produces warm water only in TS18; the water service needs attention, although nearby rooms remain usable at 17:54 case 225",Water,Water:4,4,JIIT Sector 62,Academic & Teaching,A2/2,academic,Floor 1,TS18,28.63024,77.37275,Saturday,17,2025-08-23T12:24:00+00:00,5,Low,50,61,1,Open,3.32,1,0,mobile,the current problem is that the cooler produces warm water only in ts18 the water service needs attention although nearby rooms remain usable at 17:54 case 225,2025-08-23,4-7,Medium,Medium,1.0,-0.67393,0.35055,0.0,0.0,0.0
CL-12263,EV-202602-0452,ANON-0789,"the current problem is that installed development tools fail to launch in FF6; during a regular teaching period, and the condition has become more frequent at 12:11 case 2263",Lab Equipment,Lab Equipment:4,4,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan III,academic,Floor 3,FF6,28.6299,77.37315,Sunday,12,2026-02-08T06:41:00+00:00,2,High,56,58,1,Resolved,4.72,0,0,mobile,the current problem is that installed development tools fail to launch in ff6 during a regular teaching period and the condition has become more frequent at 12:11 case 2263,2026-02-08,10-12,Medium,Medium,0.25,-0.36633,0.13974,1.0,0.0,16.0
CL-11485,EV-202512-0297,ANON-0100,"for the second time this week the wired connection cannot reach institute services in TS18; and it interrupts scheduled teaching, and staff assistance has been requested at 8:12 case 1485",Network,Network:7,2,JIIT Sector 62,Academic & Teaching,A2/2,academic,Floor 1,TS18,28.63024,77.37275,Saturday,8,2025-12-06T02:42:00+00:00,5,Low,58,43,1,Resolved,5.45,1,0,mobile,for the second time this week the wired connection cannot reach institute services in ts18 and it interrupts scheduled teaching and staff assistance has been requested at 8:12 case 1485,2025-12-06,8-10,Medium,Low,1.0,-0.2638,-0.91427,2.0,0.0,62.0
CL-11051,EV-202510-0210,ANON-0173,"the class representative confirmed that the login portal loops without granting access in GH Common Room; during a regular teaching period, during a regular teaching period at 13:03 case 1051",Network,Network:9,4,JIIT Sector 62,Hostels,Girls Hostel,hostel,Ground Floor,GH Common Room,28.63087,77.37294,Thursday,13,2025-10-30T07:33:00+00:00,5,Low,51,72,0,Open,4.76,0,0,mobile,the class representative confirmed that the login portal loops without granting access in gh common room during a regular teaching period during a regular teaching period at 13:03 case 1051,2025-10-30,12-2,Medium,High,1.0,-0.62266,1.12349,2.0,0.0,19.5
CL-11379,EV-202511-0275,ANON-0733,"during the latest session the workstation cannot boot for the practical in CL1-B; laboratory equipment availability is affected, after normal troubleshooting was attempted at 17:19 case 1379",Lab Equipment,Lab Equipment:2,2,JIIT Sector 62,Labs & Research,CL1,lab,Ground Floor,CL1-B,28.62958,77.37248,Thursday,17,2025-11-27T11:49:00+00:00,3,Medium,38,47,0,Resolved,7.3,0,0,web,during the latest session the workstation cannot boot for the practical in cl1-b laboratory equipment availability is affected after normal troubleshooting was attempted at 17:19 case 1379,2025-11-27,4-7,Low,Low,0.5,-1.28912,-0.6332,2.0,0.0,29.5
CL-11843,EV-202601-0368,ANON-0402,"today we noticed that ceiling plaster appears loose near the entrance in H4 Corridor 2; the physical infrastructure needs attention, and the issue lasts more than ten minutes at 15:57 case 1843",Infrastructure,Infrastructure:6,1,JIIT Sector 62,Hostels,H4 Boys Hostel,hostel,Floor 2,H4 Corridor 2,28.63062,77.37262,Sunday,15,2026-01-04T10:27:00+00:00,3,Medium,96,42,0,In Progress,4.12,0,0,mobile,today we noticed that ceiling plaster appears loose near the entrance in h4 corridor 2 the physical infrastructure needs attention and the issue lasts more than ten minutes at 15:57 case 1843,2026-01-04,2-4,High,Low,0.5,1.6843,-0.98454,0.0,0.0,0.0
CL-10479,EV-202509-0095,ANON-0659,"for the second time this week water is collecting beneath the dispenser in CS1; the water service needs attention, although nearby rooms remain usable at 18:45 case 479",Water,Water:7,2,JIIT Sector 62,Academic & Teaching,Aryabhatt Bhawan III,academic,Floor 1,CS1,28.6299,77.37315,Saturday,18,2025-09-13T13:15:00+00:00,4,Low,33,44,1,Resolved,6.17,0,0,web,for the second time this week water is collecting beneath the dispenser in cs1 the water service needs attention although nearby rooms remain usable at 18:45 case 479,2025-09-13,4-7,Low,Low,0.75,-1.54544,-0.844,3.0,0.0,40.333333333333336
CL-10507,EV-202509-0101,ANON-0034,"the class representative confirmed that a window latch is broken and requires maintenance in Basketball Court; the physical infrastructure needs attention, while the area is moderately occupied at 13:41 case 507",Infrastructure,Infrastructure:9,4,JIIT Sector 62,Sports & Recreation,Sports Complex,sports,Outdoor,Basketball Court,28.63102,77.37322,Monday,13,2025-09-15T08:11:00+00:00,2,High,56,51,1,Resolved,3.98,0,0,mobile,the class representative confirmed that a window latch is broken and requires maintenance in basketball court the physical infrastructure needs attention while the area is moderately occupied at 13:41 case 507,2025-09-15,12-2,Medium,Medium,0.25,-0.36633,-0.35213,2.0,0.0,44.5
CL-10074,EV-202508-0014,ANON-0290,"students report that the wifi signal is unstable for several devices in Gate 1; the network service is affected, and several students are affected at 8:56 case 74",Network,Network:1,1,JIIT Sector 62,General & Utilities,Main Gate,outdoor,Outdoor,Gate 1,28.62938,77.37238,Sunday,8,2025-08-10T03:26:00+00:00,3,Medium,26,39,0,Resolved,5.21,1,0,web,students report that the wifi signal is unstable for several devices in gate 1 the network service is affected and several students are affected at 8:56 case 74,2025-08-10,8-10,Low,Low,0.5,-1.9043,-1.19534,3.0,0.0,22.333333333333332
CL-11722,EV-202512-0344,ANON-0027,"a repeated observation is that laboratory equipment reports a calibration error in GH Corridor 1; while the area is moderately occupied, and staff assistance has been requested at 13:37 case 1722",Lab Equipment,Lab Equipment:3,3,JIIT Sector 62,Hostels,Girls Hostel,hostel,Floor 1,GH Corridor 1,28.63087,77.37294,Thursday,13,2025-12-25T08:07:00+00:00,1,Critical,71,76,0,Open,5.97,0,0,web,a repeated observation is that laboratory equipment reports a calibration error in gh corridor 1 while the area is moderately occupied and staff assistance has been requested at 13:37 case 1722,2025-12-25,12-2,High,High,0.0,0.40265,1.40456,0.0,0.0,0.0
CL-10366,EV-202509-0073,ANON-0242,"today we noticed that charging points are unavailable in Reception; and staff assistance has been requested, during a regular teaching period at 8:34 case 366",Electrical,Electrical:6,1,JIIT Sector 62,General & Utilities,Administration Block,office,Ground Floor,Reception,28.62992,77.37334,Wednesday,8,2025-09-03T03:04:00+00:00,4,Low,33,41,0,Resolved,4.59,0,0,web,today we noticed that charging points are unavailable in reception and staff assistance has been requested during a regular teaching period at 8:34 case 366,2025-09-03,8-10,Low,Low,0.75,-1.54544,-1.05481,1.0,0.0,18.0
