session_id,route,facility,search_term,dwell_seconds,converted_to_report,observed_at
WS-000033,/status,A2/1,parking,68,0,2025-08-05T18:00:00+05:30
WS-000034,/explore,Auditorium,cleaning,16,0,2025-08-05T19:00:00+05:30
WS-000035,/help,Aryabhatt Bhawan III,water,8,0,2025-08-06T02:00:00+05:30
WS-000036,/help,A2/1,projector,40,0,2025-08-05T21:00:00+05:30
WS-000037,/explore,Washrooms,lab,29,0,2025-08-06T04:00:00+05:30
WS-000038,/status,H4 Boys Hostel,water,8,0,2025-08-05T23:00:00+05:30
WS-000039,/explore,A2/2,parking,9,0,2025-08-05T23:00:00+05:30
WS-000040,/status,H5 Boys Hostel,projector,50,1,2025-08-06T04:00:00+05:30
WS-000041,/report,LRC,lab,53,0,2025-08-06T05:00:00+05:30
WS-000042,/help,H4 Boys Hostel,parking,35,0,2025-08-06T02:00:00+05:30
WS-000043,/campus-map,ECE Labs,projector,17,0,2025-08-06T05:00:00+05:30
WS-000044,/status,H4 Boys Hostel,wifi,48,0,2025-08-06T10:00:00+05:30
WS-000045,/campus-map,A2/1,cleaning,29,0,2025-08-06T12:00:00+05:30
WS-000046,/status,H5 Boys Hostel,cleaning,58,1,2025-08-06T12:00:00+05:30
WS-000047,/help,A2/2,cleaning,38,0,2025-08-06T11:00:00+05:30
WS-000048,/help,H5 Boys Hostel,projector,55,0,2025-08-06T08:00:00+05:30
WS-000049,/campus-map,H5 Boys Hostel,parking,33,0,2025-08-06T11:00:00+05:30
WS-000050,/help,Water Points,projector,18,0,2025-08-06T11:00:00+05:30
WS-000051,/report,Girls Hostel,parking,53,0,2025-08-06T11:00:00+05:30
WS-000052,/help,H5 Boys Hostel,parking,35,1,2025-08-06T16:00:00+05:30
WS-000053,/explore,LRC,wifi,22,0,2025-08-06T17:00:00+05:30
WS-000054,/status,LRC,cleaning,63,0,2025-08-06T16:00:00+05:30
WS-000055,/campus-map,LRC,wifi,17,0,2025-08-06T17:00:00+05:30
WS-000056,/campus-map,CL3,lab,19,0,2025-08-06T21:00:00+05:30
WS-000057,/explore,Aryabhatt Bhawan III,wifi,14,1,2025-08-06T23:00:00+05:30
WS-000058,/explore,Administration Block,water,47,0,2025-08-07T01:00:00+05:30
WS-000059,/report,A2/2,water,26,0,2025-08-06T19:00:00+05:30
WS-000060,/report,ECE Labs,parking,16,0,2025-08-07T01:00:00+05:30
WS-000061,/status,H4 Boys Hostel,cleaning,13,0,2025-08-06T22:00:00+05:30
WS-000062,/explore,Aryabhatt Bhawan II,water,12,1,2025-08-07T03:00:00+05:30
WS-000063,/status,H4 Boys Hostel,cleaning,62,1,2025-08-07T06:00:00+05:30
WS-000064,/explore,Sports Complex,cleaning,106,0,2025-08-07T04:00:00+05:30
WS-000065,/report,LRC,queue,17,0,2025-08-07T06:00:00+05:30
WS-000066,/campus-map,Girls Hostel,cleaning,5,0,2025-08-07T06:00:00+05:30
WS-000067,/campus-map,CL1,lab,78,0,2025-08-07T07:00:00+05:30
WS-000068,/report,Administration Block,water,65,0,2025-08-07T05:00:00+05:30
WS-000069,/explore,H4 Boys Hostel,cleaning,42,0,2025-08-07T08:00:00+05:30
WS-000070,/explore,Parking,projector,39,1,2025-08-07T08:00:00+05:30
WS-000071,/campus-map,LRC,cleaning,98,0,2025-08-07T09:00:00+05:30
WS-000072,/explore,Annapurna / Main Mess,cleaning,31,0,2025-08-07T11:00:00+05:30
WS-000073,/status,Parking,queue,174,0,2025-08-07T15:00:00+05:30
WS-000074,/help,Aryabhatt Bhawan III,queue,70,1,2025-08-07T12:00:00+05:30
WS-000075,/campus-map,CL3,projector,73,0,2025-08-07T12:00:00+05:30
WS-000076,/status,Auditorium,projector,20,0,2025-08-07T12:00:00+05:30
WS-000077,/status,A2/1,water,58,0,2025-08-07T16:00:00+05:30
WS-000078,/status,Washrooms,lab,18,0,2025-08-07T21:00:00+05:30
WS-000079,/campus-map,Main Gate,queue,52,0,2025-08-07T15:00:00+05:30
WS-000080,/status,A2/2,wifi,28,0,2025-08-07T23:00:00+05:30
WS-000081,/report,A2/1,wifi,26,0,2025-08-07T18:00:00+05:30
WS-000082,/status,Aryabhatt Bhawan II,projector,8,0,2025-08-08T00:00:00+05:30
WS-000083,/report,Girls Hostel,projector,41,1,2025-08-07T23:00:00+05:30
WS-000084,/campus-map,Aryabhatt Bhawan II,lab,32,0,2025-08-08T01:00:00+05:30
WS-000085,/report,H4 Boys Hostel,wifi,50,0,2025-08-07T21:00:00+05:30
WS-000086,/help,Aryabhatt Bhawan II,cleaning,31,0,2025-08-07T23:00:00+05:30
WS-000087,/report,Cafeteria / Canteen,queue,39,0,2025-08-08T00:00:00+05:30
WS-000088,/campus-map,Main Gate,projector,46,0,2025-08-08T01:00:00+05:30
WS-000089,/campus-map,A2/2,lab,37,0,2025-08-08T03:00:00+05:30
WS-000090,/campus-map,Main Gate,cleaning,17,0,2025-08-08T02:00:00+05:30
WS-000091,/explore,Sports Complex,cleaning,18,0,2025-08-08T06:00:00+05:30
WS-000092,/explore,Aryabhatt Bhawan III,wifi,63,0,2025-08-08T08:00:00+05:30
WS-000093,/explore,Administration Block,wifi,10,1,2025-08-08T07:00:00+05:30
WS-000094,/help,CL15,cleaning,21,0,2025-08-08T13:00:00+05:30
WS-000095,/report,Aryabhatt Bhawan II,parking,20,0,2025-08-08T09:00:00+05:30
WS-000096,/report,Aryabhatt Bhawan III,parking,32,0,2025-08-08T11:00:00+05:30
WS-000097,/campus-map,Parking,parking,57,0,2025-08-08T16:00:00+05:30
WS-000098,/explore,Washrooms,queue,4,0,2025-08-08T17:00:00+05:30
WS-000099,/explore,A2/1,cleaning,19,0,2025-08-08T12:00:00+05:30
WS-000100,/campus-map,A2/1,projector,66,1,2025-08-08T13:00:00+05:30
WS-000101,/status,Aryabhatt Bhawan II,queue,61,0,2025-08-08T18:00:00+05:30
WS-000102,/campus-map,Washrooms,parking,27,0,2025-08-08T15:00:00+05:30
WS-000103,/help,Administration Block,wifi,39,0,2025-08-08T20:00:00+05:30
WS-000104,/help,Main Gate,water,20,0,2025-08-08T22:00:00+05:30
WS-000105,/help,H4 Boys Hostel,projector,51,0,2025-08-08T18:00:00+05:30
WS-000106,/status,H4 Boys Hostel,parking,8,0,2025-08-08T18:00:00+05:30
WS-000107,/explore,LRC,queue,44,0,2025-08-08T19:00:00+05:30
WS-000108,/report,A2/1,wifi,24,0,2025-08-08T20:00:00+05:30
WS-000109,/report,H4 Boys Hostel,cleaning,79,0,2025-08-09T03:00:00+05:30
WS-000110,/status,Aryabhatt Bhawan II,parking,65,0,2025-08-09T02:00:00+05:30
WS-000111,/campus-map,Washrooms,wifi,102,0,2025-08-09T03:00:00+05:30
WS-000112,/explore,ECE Labs,cleaning,25,0,2025-08-09T00:00:00+05:30
WS-000113,/status,CL1,lab,55,0,2025-08-09T04:00:00+05:30
WS-000114,/campus-map,Administration Block,water,119,0,2025-08-09T08:00:00+05:30
WS-000115,/explore,Administration Block,projector,12,0,2025-08-09T10:00:00+05:30
WS-000116,/explore,Washrooms,cleaning,28,1,2025-08-09T10:00:00+05:30
WS-000117,/help,Aryabhatt Bhawan II,water,41,0,2025-08-09T06:00:00+05:30
WS-000118,/report,Sports Complex,cleaning,40,0,2025-08-09T11:00:00+05:30
WS-000119,/campus-map,Main Gate,parking,63,1,2025-08-09T07:00:00+05:30
WS-000120,/explore,LRC,projector,18,0,2025-08-09T09:00:00+05:30
WS-000121,/explore,Sports Complex,parking,36,0,2025-08-09T12:00:00+05:30
WS-000122,/status,ECE Labs,water,38,1,2025-08-09T17:00:00+05:30
WS-000123,/report,A2/1,wifi,8,1,2025-08-09T18:00:00+05:30
WS-000124,/help,Aryabhatt Bhawan III,cleaning,42,0,2025-08-09T12:00:00+05:30
WS-000125,/campus-map,ECE Labs,water,89,0,2025-08-09T15:00:00+05:30
WS-000126,/report,Administration Block,cleaning,29,0,2025-08-09T21:00:00+05:30
WS-000127,/campus-map,CL1,projector,53,0,2025-08-09T15:00:00+05:30
WS-000128,/status,H5 Boys Hostel,parking,24,1,2025-08-09T16:00:00+05:30
WS-000129,/explore,A2/1,parking,45,0,2025-08-09T17:00:00+05:30
WS-000130,/status,Water Points,projector,25,0,2025-08-09T18:00:00+05:30
WS-000131,/help,Water Points,queue,15,0,2025-08-09T21:00:00+05:30
WS-000132,/status,Administration Block,water,56,0,2025-08-10T00:00:00+05:30
WS-000133,/campus-map,H5 Boys Hostel,cleaning,66,0,2025-08-10T03:00:00+05:30
WS-000134,/help,Aryabhatt Bhawan III,water,196,0,2025-08-10T00:00:00+05:30
WS-000135,/campus-map,ECE Labs,lab,44,0,2025-08-10T00:00:00+05:30
WS-000136,/status,A2/2,queue,120,0,2025-08-10T05:00:00+05:30
WS-000137,/status,A2/1,projector,10,0,2025-08-10T05:00:00+05:30
WS-000138,/report,Cafeteria / Canteen,water,20,0,2025-08-10T08:00:00+05:30
WS-000139,/explore,Main Gate,wifi,14,0,2025-08-10T06:00:00+05:30
WS-000140,/campus-map,CL15,cleaning,32,0,2025-08-10T05:00:00+05:30
WS-000141,/report,Aryabhatt Bhawan II,projector,41,0,2025-08-10T09:00:00+05:30
WS-000142,/report,Girls Hostel,water,69,0,2025-08-10T09:00:00+05:30
WS-000143,/report,LRC,queue,42,0,2025-08-10T07:00:00+05:30
WS-000144,/status,A2/1,water,72,0,2025-08-10T08:00:00+05:30
WS-000145,/help,A2/1,parking,34,1,2025-08-10T11:00:00+05:30
WS-000146,/campus-map,CL3,lab,14,0,2025-08-10T12:00:00+05:30
WS-000147,/status,Aryabhatt Bhawan II,cleaning,10,1,2025-08-10T15:00:00+05:30
WS-000148,/explore,Girls Hostel,queue,87,0,2025-08-10T18:00:00+05:30
WS-000149,/report,LRC,wifi,37,1,2025-08-10T17:00:00+05:30
WS-000150,/campus-map,Annapurna / Main Mess,lab,36,1,2025-08-10T20:00:00+05:30
WS-000151,/report,H5 Boys Hostel,lab,63,1,2025-08-10T18:00:00+05:30
WS-000152,/status,Administration Block,projector,61,0,2025-08-10T19:00:00+05:30
WS-000153,/report,Aryabhatt Bhawan II,queue,22,0,2025-08-10T23:00:00+05:30
WS-000154,/help,Main Gate,wifi,35,0,2025-08-10T22:00:00+05:30
WS-000155,/status,CL1,water,3,0,2025-08-10T22:00:00+05:30
WS-000156,/status,CL1,queue,46,0,2025-08-10T22:00:00+05:30
WS-000157,/report,Main Gate,queue,18,0,2025-08-10T21:00:00+05:30
WS-000158,/campus-map,Cafeteria / Canteen,wifi,16,0,2025-08-11T01:00:00+05:30
WS-000159,/help,Annapurna / Main Mess,water,46,0,2025-08-11T05:00:00+05:30
WS-000160,/help,LRC,cleaning,121,0,2025-08-11T02:00:00+05:30
WS-000161,/status,Parking,cleaning,45,0,2025-08-11T06:00:00+05:30
WS-000162,/status,Auditorium,queue,11,1,2025-08-11T04:00:00+05:30
WS-000163,/status,H5 Boys Hostel,cleaning,17,0,2025-08-11T07:00:00+05:30
WS-000164,/explore,H4 Boys Hostel,water,47,1,2025-08-11T06:00:00+05:30
WS-000165,/status,A2/1,queue,35,0,2025-08-11T07:00:00+05:30
WS-000166,/status,Annapurna / Main Mess,lab,73,1,2025-08-11T09:00:00+05:30
WS-000167,/help,Parking,wifi,111,1,2025-08-11T07:00:00+05:30
WS-000168,/status,A2/2,cleaning,85,0,2025-08-11T13:00:00+05:30
WS-000169,/explore,Auditorium,lab,38,0,2025-08-11T10:00:00+05:30
WS-000170,/help,Sports Complex,water,13,0,2025-08-11T14:00:00+05:30
WS-000171,/help,Sports Complex,parking,63,0,2025-08-11T16:00:00+05:30
WS-000172,/explore,Cafeteria / Canteen,queue,31,0,2025-08-11T13:00:00+05:30
WS-000173,/help,Aryabhatt Bhawan II,cleaning,63,0,2025-08-11T20:00:00+05:30
WS-000174,/report,CL3,queue,21,0,2025-08-11T21:00:00+05:30
WS-000175,/campus-map,CL3,projector,69,1,2025-08-11T18:00:00+05:30
WS-000176,/help,Aryabhatt Bhawan III,parking,78,0,2025-08-11T20:00:00+05:30
WS-000177,/explore,Aryabhatt Bhawan II,lab,77,0,2025-08-11T17:00:00+05:30
WS-000178,/help,Parking,wifi,47,1,2025-08-11T20:00:00+05:30
WS-000179,/report,H5 Boys Hostel,water,43,0,2025-08-12T00:00:00+05:30
WS-000180,/report,Annapurna / Main Mess,lab,16,0,2025-08-11T22:00:00+05:30
WS-000181,/campus-map,Washrooms,wifi,53,0,2025-08-12T02:00:00+05:30
WS-000182,/report,A2/1,wifi,17,0,2025-08-12T01:00:00+05:30
WS-000183,/help,CL1,projector,34,0,2025-08-12T05:00:00+05:30
WS-000184,/explore,Washrooms,parking,95,0,2025-08-12T04:00:00+05:30
WS-000185,/status,Main Gate,lab,33,0,2025-08-12T02:00:00+05:30
WS-000186,/explore,Aryabhatt Bhawan III,parking,103,0,2025-08-12T03:00:00+05:30
WS-000187,/report,A2/2,queue,29,0,2025-08-12T08:00:00+05:30
WS-000188,/report,Cafeteria / Canteen,queue,65,1,2025-08-12T11:00:00+05:30
WS-000189,/status,Administration Block,projector,61,0,2025-08-12T12:00:00+05:30
WS-000190,/status,CL22,wifi,10,0,2025-08-12T08:00:00+05:30
WS-000191,/report,A2/2,water,159,0,2025-08-12T08:00:00+05:30
WS-000192,/help,LRC,cleaning,40,0,2025-08-12T10:00:00+05:30
WS-000193,/report,CL1,queue,28,0,2025-08-12T15:00:00+05:30
WS-000194,/status,Cafeteria / Canteen,queue,29,0,2025-08-12T16:00:00+05:30
WS-000195,/help,A2/1,lab,39,0,2025-08-12T16:00:00+05:30
WS-000196,/explore,Girls Hostel,water,26,1,2025-08-12T19:00:00+05:30
WS-000197,/status,CL15,wifi,50,0,2025-08-12T15:00:00+05:30
WS-000198,/help,Main Gate,parking,44,0,2025-08-12T19:00:00+05:30
WS-000199,/explore,A2/2,wifi,28,0,2025-08-12T19:00:00+05:30
WS-000200,/explore,Aryabhatt Bhawan III,parking,53,0,2025-08-12T22:00:00+05:30
WS-000201,/status,A2/2,water,21,0,2025-08-13T00:00:00+05:30
WS-000202,/status,Aryabhatt Bhawan III,wifi,80,0,2025-08-12T18:00:00+05:30
WS-000203,/help,Auditorium,projector,34,0,2025-08-12T20:00:00+05:30
WS-000204,/help,A2/2,queue,87,0,2025-08-13T02:00:00+05:30
WS-000205,/explore,Main Gate,water,67,0,2025-08-13T02:00:00+05:30
WS-000206,/help,CL15,lab,40,0,2025-08-13T01:00:00+05:30
WS-000207,/campus-map,A2/1,water,13,0,2025-08-12T23:00:00+05:30
WS-000208,/status,Administration Block,parking,13,0,2025-08-13T05:00:00+05:30
WS-000209,/campus-map,ECE Labs,queue,76,0,2025-08-13T01:00:00+05:30
WS-000210,/status,Aryabhatt Bhawan III,wifi,53,0,2025-08-13T06:00:00+05:30
WS-000211,/status,Aryabhatt Bhawan III,cleaning,45,0,2025-08-13T03:00:00+05:30
WS-000212,/report,Cafeteria / Canteen,water,17,0,2025-08-13T06:00:00+05:30
WS-000213,/explore,A2/1,parking,20,0,2025-08-13T05:00:00+05:30
WS-000214,/campus-map,Auditorium,wifi,17,0,2025-08-13T09:00:00+05:30
WS-000215,/status,LRC,queue,64,0,2025-08-13T14:00:00+05:30
WS-000216,/report,Washrooms,parking,61,0,2025-08-13T11:00:00+05:30
WS-000217,/help,CL22,cleaning,54,0,2025-08-13T11:00:00+05:30
WS-000218,/campus-map,A2/2,lab,21,1,2025-08-13T14:00:00+05:30
WS-000219,/campus-map,Administration Block,queue,27,0,2025-08-13T14:00:00+05:30
WS-000220,/campus-map,Parking,wifi,60,1,2025-08-13T13:00:00+05:30
WS-000221,/explore,LRC,lab,40,0,2025-08-13T14:00:00+05:30
WS-000222,/help,CL3,cleaning,89,0,2025-08-13T19:00:00+05:30
WS-000223,/explore,Annapurna / Main Mess,water,43,1,2025-08-13T17:00:00+05:30
WS-000224,/explore,Aryabhatt Bhawan II,queue,40,0,2025-08-13T17:00:00+05:30
WS-000225,/help,Parking,queue,40,1,2025-08-13T19:00:00+05:30
WS-000226,/campus-map,Aryabhatt Bhawan II,queue,13,0,2025-08-13T23:00:00+05:30
WS-000227,/status,Water Points,lab,11,1,2025-08-13T20:00:00+05:30
WS-000228,/report,Aryabhatt Bhawan II,queue,59,1,2025-08-13T20:00:00+05:30
WS-000229,/report,Aryabhatt Bhawan III,wifi,34,0,2025-08-14T00:00:00+05:30
WS-000230,/explore,H5 Boys Hostel,water,22,1,2025-08-14T01:00:00+05:30
WS-000231,/explore,Aryabhatt Bhawan II,lab,22,0,2025-08-14T02:00:00+05:30
WS-000232,/campus-map,CL1,projector,4,0,2025-08-14T05:00:00+05:30
WS-000233,/campus-map,Administration Block,cleaning,41,0,2025-08-14T08:00:00+05:30
WS-000234,/campus-map,CL15,queue,40,0,2025-08-14T02:00:00+05:30
WS-000235,/campus-map,Sports Complex,cleaning,32,1,2025-08-14T09:00:00+05:30
WS-000236,/help,H4 Boys Hostel,cleaning,19,0,2025-08-14T09:00:00+05:30
WS-000237,/help,H5 Boys Hostel,projector,47,0,2025-08-14T07:00:00+05:30
WS-000238,/status,Aryabhatt Bhawan II,queue,32,0,2025-08-14T08:00:00+05:30
WS-000239,/campus-map,H5 Boys Hostel,cleaning,9,0,2025-08-14T11:00:00+05:30
WS-000240,/campus-map,Annapurna / Main Mess,projector,29,0,2025-08-14T11:00:00+05:30
WS-000241,/explore,Parking,queue,82,0,2025-08-14T10:00:00+05:30
WS-000242,/report,CL22,projector,9,0,2025-08-14T15:00:00+05:30
WS-000243,/report,LRC,cleaning,27,0,2025-08-14T12:00:00+05:30
WS-000244,/explore,LRC,projector,62,0,2025-08-14T17:00:00+05:30
WS-000245,/help,Cafeteria / Canteen,wifi,117,0,2025-08-14T18:00:00+05:30
WS-000246,/status,H4 Boys Hostel,water,100,0,2025-08-14T20:00:00+05:30
WS-000247,/report,Washrooms,lab,39,0,2025-08-14T17:00:00+05:30
WS-000248,/status,Girls Hostel,projector,66,0,2025-08-14T22:00:00+05:30
WS-000249,/explore,Cafeteria / Canteen,cleaning,25,0,2025-08-14T21:00:00+05:30
WS-000250,/status,CL3,queue,26,0,2025-08-14T18:00:00+05:30
WS-000251,/explore,CL15,wifi,12,1,2025-08-15T02:00:00+05:30
WS-000252,/help,LRC,cleaning,86,0,2025-08-15T02:00:00+05:30
WS-000253,/explore,Administration Block,parking,19,0,2025-08-14T22:00:00+05:30
WS-000254,/report,A2/2,wifi,12,0,2025-08-15T05:00:00+05:30
WS-000255,/help,A2/1,water,72,0,2025-08-15T04:00:00+05:30
WS-000256,/help,Cafeteria / Canteen,water,12,1,2025-08-15T05:00:00+05:30
WS-000257,/status,Aryabhatt Bhawan II,queue,43,0,2025-08-15T05:00:00+05:30
WS-000258,/help,Main Gate,projector,37,0,2025-08-15T05:00:00+05:30
WS-000259,/campus-map,Aryabhatt Bhawan III,wifi,81,0,2025-08-15T04:00:00+05:30
WS-000260,/help,Parking,water,84,0,2025-08-15T11:00:00+05:30
WS-000261,/explore,Aryabhatt Bhawan III,cleaning,93,0,2025-08-15T12:00:00+05:30
WS-000262,/campus-map,Aryabhatt Bhawan II,projector,54,0,2025-08-15T12:00:00+05:30
WS-000263,/status,Washrooms,projector,59,0,2025-08-15T12:00:00+05:30
WS-000264,/explore,A2/1,parking,37,0,2025-08-15T12:00:00+05:30
WS-000265,/report,Aryabhatt Bhawan II,projector,51,0,2025-08-15T14:00:00+05:30
WS-000266,/status,A2/1,projector,19,0,2025-08-15T17:00:00+05:30
WS-000267,/explore,CL3,lab,68,0,2025-08-15T13:00:00+05:30
WS-000268,/status,Main Gate,parking,65,0,2025-08-15T17:00:00+05:30
WS-000269,/status,Auditorium,queue,90,0,2025-08-15T19:00:00+05:30
WS-000270,/help,A2/1,queue,86,0,2025-08-15T21:00:00+05:30
WS-000271,/help,Aryabhatt Bhawan III,parking,40,0,2025-08-15T19:00:00+05:30
WS-000272,/report,A2/2,lab,15,0,2025-08-15T22:00:00+05:30
WS-000273,/status,H5 Boys Hostel,projector,36,0,2025-08-15T17:00:00+05:30
WS-000274,/explore,CL1,cleaning,53,0,2025-08-16T00:00:00+05:30
WS-000275,/campus-map,CL1,queue,17,0,2025-08-16T01:00:00+05:30
WS-000276,/status,Main Gate,cleaning,64,1,2025-08-16T02:00:00+05:30
WS-000277,/campus-map,Auditorium,cleaning,19,0,2025-08-15T22:00:00+05:30
WS-000278,/report,Aryabhatt Bhawan II,water,31,0,2025-08-15T23:00:00+05:30
WS-000279,/status,Water Points,projector,14,1,2025-08-16T04:00:00+05:30
WS-000280,/help,H5 Boys Hostel,water,41,0,2025-08-16T01:00:00+05:30
WS-000281,/help,CL1,queue,50,0,2025-08-16T01:00:00+05:30
WS-000282,/explore,CL1,lab,20,0,2025-08-16T03:00:00+05:30
WS-000283,/status,Parking,lab,67,0,2025-08-16T04:00:00+05:30
WS-000284,/explore,A2/2,wifi,9,0,2025-08-16T07:00:00+05:30
WS-000285,/campus-map,Auditorium,parking,15,1,2025-08-16T07:00:00+05:30
WS-000286,/help,Administration Block,queue,57,0,2025-08-16T13:00:00+05:30
WS-000287,/report,LRC,parking,19,0,2025-08-16T12:00:00+05:30
WS-000288,/explore,Main Gate,lab,21,0,2025-08-16T13:00:00+05:30
WS-000289,/campus-map,Sports Complex,lab,138,0,2025-08-16T14:00:00+05:30
WS-000290,/explore,Girls Hostel,projector,27,0,2025-08-16T14:00:00+05:30
WS-000291,/report,H5 Boys Hostel,water,55,0,2025-08-16T12:00:00+05:30
WS-000292,/campus-map,A2/1,water,57,0,2025-08-16T13:00:00+05:30
WS-000293,/report,A2/1,projector,77,0,2025-08-16T20:00:00+05:30
WS-000294,/explore,Cafeteria / Canteen,queue,58,0,2025-08-16T21:00:00+05:30
WS-000295,/report,Aryabhatt Bhawan III,parking,28,0,2025-08-16T22:00:00+05:30
WS-000296,/campus-map,CL22,water,61,0,2025-08-16T21:00:00+05:30
WS-000297,/report,Aryabhatt Bhawan II,parking,55,1,2025-08-16T22:00:00+05:30
WS-000298,/campus-map,Sports Complex,cleaning,56,0,2025-08-16T22:00:00+05:30
WS-000299,/status,A2/2,wifi,64,0,2025-08-17T01:00:00+05:30
WS-000300,/help,Administration Block,cleaning,18,0,2025-08-17T02:00:00+05:30
WS-000301,/report,LRC,wifi,32,0,2025-08-17T03:00:00+05:30
WS-000302,/campus-map,CL3,lab,8,0,2025-08-17T02:00:00+05:30
WS-000303,/campus-map,A2/1,projector,42,1,2025-08-17T01:00:00+05:30
WS-000304,/explore,A2/1,lab,33,0,2025-08-17T04:00:00+05:30
WS-000305,/campus-map,Aryabhatt Bhawan III,queue,34,1,2025-08-17T03:00:00+05:30
WS-000306,/help,Washrooms,water,34,0,2025-08-17T04:00:00+05:30
WS-000307,/status,A2/1,cleaning,28,0,2025-08-17T03:00:00+05:30
WS-000308,/status,A2/2,water,46,0,2025-08-17T09:00:00+05:30
WS-000309,/explore,Administration Block,cleaning,18,0,2025-08-17T12:00:00+05:30
WS-000310,/explore,Administration Block,queue,19,1,2025-08-17T06:00:00+05:30
WS-000311,/status,Aryabhatt Bhawan II,projector,70,0,2025-08-17T10:00:00+05:30
WS-000312,/report,H4 Boys Hostel,queue,45,0,2025-08-17T11:00:00+05:30
WS-000313,/explore,H5 Boys Hostel,projector,24,0,2025-08-17T12:00:00+05:30
WS-000314,/status,Washrooms,lab,14,1,2025-08-17T17:00:00+05:30
WS-000315,/status,Auditorium,cleaning,7,0,2025-08-17T18:00:00+05:30
WS-000316,/campus-map,H5 Boys Hostel,water,65,0,2025-08-17T19:00:00+05:30
WS-000317,/explore,Sports Complex,water,19,0,2025-08-17T16:00:00+05:30
WS-000318,/explore,Aryabhatt Bhawan III,parking,46,0,2025-08-17T19:00:00+05:30
WS-000319,/report,Cafeteria / Canteen,queue,40,0,2025-08-17T20:00:00+05:30
WS-000320,/report,Administration Block,water,30,0,2025-08-17T19:00:00+05:30
WS-000321,/status,Aryabhatt Bhawan III,parking,34,0,2025-08-18T00:00:00+05:30
WS-000322,/explore,Girls Hostel,lab,69,0,2025-08-17T19:00:00+05:30
WS-000323,/report,LRC,parking,42,0,2025-08-17T22:00:00+05:30
WS-000324,/help,Cafeteria / Canteen,projector,5,0,2025-08-18T03:00:00+05:30
WS-000325,/campus-map,Aryabhatt Bhawan III,parking,21,1,2025-08-18T00:00:00+05:30
WS-000326,/explore,H5 Boys Hostel,projector,47,0,2025-08-17T23:00:00+05:30
WS-000327,/explore,Sports Complex,parking,73,0,2025-08-18T00:00:00+05:30
WS-000328,/explore,ECE Labs,water,58,0,2025-08-18T07:00:00+05:30
WS-000329,/explore,Annapurna / Main Mess,cleaning,10,1,2025-08-18T06:00:00+05:30
WS-000330,/help,Cafeteria / Canteen,wifi,19,0,2025-08-18T03:00:00+05:30
WS-000331,/status,Main Gate,wifi,48,1,2025-08-18T10:00:00+05:30
