@RELATION campuslens_complaints

@ATTRIBUTE complaint STRING
@ATTRIBUTE zone STRING
@ATTRIBUTE facility STRING
@ATTRIBUTE hour NUMERIC
@ATTRIBUTE occupancy NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE impact NUMERIC
@ATTRIBUTE category {Network,Infrastructure,Cleanliness,Canteen,Electrical,Lab_Equipment,Water,Other}

@DATA
'floor near h4 boys hostel is dirty and slippery','Hostels','H4 Boys Hostel',13,46,49,3,Water
'very weak wifi signal on floor 1 of cl3','Academic & Teaching','CL3',12,71,53,3,Network
'billing queue reaches the stairwell near cafeteria / canteen','Food','Cafeteria / Canteen',13,66,58,3,Canteen
'parking congestion blocks the entrance near auditorium','Sports & Recreation','Auditorium',13,30,63,4,Other
'network authentication fails for students around cl3','Academic & Teaching','CL3',12,76,83,2,Network
'air conditioner stops cooling after noon on floor 4','Academic & Teaching','A2/1',13,45,93,3,Electrical
'projector in g2 switches off after ten minutes','Labs & Research','Aryabhatt Bhawan II',14,20,71,2,Infrastructure
'very weak wifi signal on floor 1 of aryabhatt bhawan ii','Labs & Research','Aryabhatt Bhawan II',12,71,44,3,Network
'waiting time at cafeteria / canteen is more than twenty minutes','Food','Cafeteria / Canteen',12,80,73,2,Canteen
'canteen queue is very long at 13 00 with one counter open','Food','Cafeteria / Canteen',13,100,24,1,Canteen
'internet disconnects repeatedly during the lecture in cl3','Labs & Research','Aryabhatt Bhawan II',10,77,49,1,Network
'monitor and keyboard are not detected at workstation in ts17','Labs & Research','ECE Labs',17,54,55,3,Lab_Equipment
'projector in g2 switches off after ten minutes after a power interruption','Labs & Research','A2/2',11,54,53,3,Infrastructure
'wifi becomes extremely slow near cl15 between 10 00 and 12 00','Library & Study','CL15',10,87,38,3,Network
'three lab systems freeze during compilation in cl3 after a power interruption','Labs & Research','CL15',8,76,56,2,Lab_Equipment
'wifi becomes extremely slow near ff6 between 10 00 and 12 00','Library & Study','LRC',10,83,35,2,Network
'internet disconnects repeatedly during the lecture in cl15','Labs & Research','CL15',12,61,41,3,Network
'wifi becomes extremely slow near cl15 between 9 00 and 11 00','Labs & Research','CL15',9,98,45,5,Network
'very weak wifi signal on floor 3 of lrc this happens repeatedly while the wifi is also unstable','Academic & Teaching','LRC',14,83,35,1,Network
'low water pressure reported around girls hostel','Hostels','Girls Hostel',12,63,65,2,Water
'broken writing desk is blocking the aisle in cl22','Labs & Research','CL3',8,67,50,3,Infrastructure
'laboratory equipment reports a calibration error in cl22','Labs & Research','CL3',8,64,47,3,Lab_Equipment
'spill outside cr425 creates a safety hazard','General & Utilities','Aryabhatt Bhawan III',10,54,82,4,Cleanliness
'canteen queue is very long at 12 00 with one counter open','Food','Cafeteria / Canteen',12,74,56,4,Canteen
'wifi becomes extremely slow near ff6 between 11 00 and 13 00 while the wifi is also unstable','Library & Study','Aryabhatt Bhawan II',11,83,60,3,Network
'classroom door and several chairs need repair on floor 2','Labs & Research','CL3',15,20,41,1,Infrastructure
'network authentication fails for students around cl15','Library & Study','CL15',10,63,67,3,Network
'wifi becomes extremely slow near g2 between 9 00 and 11 00 and the room is overcrowded','Academic & Teaching','LRC',9,73,69,1,Network
'very weak wifi signal on floor 4 of lrc','Academic & Teaching','LRC',10,62,53,3,Network
'water is leaking into the corridor on floor 2','Sports & Recreation','Swimming Pool',12,16,54,3,Water
'spill outside cl22 creates a safety hazard','Hostels','Aryabhatt Bhawan III',10,46,50,3,Cleanliness
'laboratory equipment reports a calibration error in cs1','Labs & Research','CL15',10,73,62,1,Lab_Equipment
'water is leaking into the corridor on ground floor','General & Utilities','Swimming Pool',18,28,76,2,Water
'waiting time at annapurna / main mess is more than twenty minutes','Food','Annapurna / Main Mess',12,100,57,5,Canteen
'classroom door and several chairs need repair on ground floor','Academic & Teaching','A2/1',17,35,45,3,Infrastructure
'unclassified campus issue reported around parking','General & Utilities','Parking',14,54,47,4,Other
'internet disconnects repeatedly during the lecture in cr425 near a water cooler','Library & Study','CL3',14,100,50,5,Network
'computer fails to boot during practical class in cs1 beside the canteen queue','Labs & Research','ECE Labs',8,52,48,3,Lab_Equipment
'projector hdmi port is loose in cs1','Labs & Research','CL3',18,63,24,1,Infrastructure
'air conditioner stops cooling after noon on floor 4','Hostels','A2/1',10,37,56,4,Electrical
'low water pressure reported around girls hostel beside the canteen queue','Sports & Recreation','Girls Hostel',12,34,48,5,Water
'computer fails to boot during practical class in cs1','Labs & Research','ECE Labs',15,47,42,4,Lab_Equipment
'laboratory equipment reports a calibration error in cr425 while the wifi is also unstable','Labs & Research','CL3',8,59,20,2,Lab_Equipment
'two ceiling fans are not working in cr425 students cannot continue class','Academic & Teaching','H5 Boys Hostel',13,94,55,3,Electrical
'water is leaking into the corridor on floor 3 after a power interruption','General & Utilities','Girls Hostel',8,62,75,3,Water
'three lab systems freeze during compilation in g2','Labs & Research','CL3',10,54,66,3,Lab_Equipment
'lights flicker repeatedly inside cl22 after a power interruption','Hostels','H5 Boys Hostel',13,69,92,2,Electrical
'network authentication fails for students around lrc','Library & Study','LRC',14,66,61,3,Network
'lights flicker repeatedly inside cl3 after a power interruption','Academic & Teaching','H5 Boys Hostel',14,58,91,1,Electrical
'food counter is overcrowded between 13 00 and 15 00','Food','Cafeteria / Canteen',13,78,45,4,Canteen
'food counter is overcrowded between 14 00 and 16 00','Food','Cafeteria / Canteen',14,93,34,4,Canteen
'computer fails to boot during practical class in cl22 near a water cooler','Labs & Research','CL3',16,62,52,4,Lab_Equipment
'classroom door and several chairs need repair on ground floor','Academic & Teaching','A2/1',14,43,57,3,Infrastructure
'waiting time at cafeteria / canteen is more than twenty minutes students cannot continue class','Food','Cafeteria / Canteen',14,81,62,1,Canteen
'very weak wifi signal on floor 3 of cl3','Labs & Research','CL3',14,39,38,1,Network
'air conditioner stops cooling after noon on floor 4 near a water cooler','Hostels','CL22',17,33,56,4,Electrical
'wifi becomes extremely slow near cl3 between 10 00 and 12 00','Labs & Research','LRC',10,100,38,3,Network
'food counter is overcrowded between 14 00 and 16 00 near a water cooler','Food','Cafeteria / Canteen',14,76,64,1,Canteen
'power socket near the desk is unsafe in cl22 students cannot continue class','Hostels','CL22',14,72,80,3,Electrical
'canteen queue is very long at 13 00 with one counter open and the room is overcrowded','Food','Cafeteria / Canteen',13,71,50,1,Canteen
'projector hdmi port is loose in ff6 while the wifi is also unstable','Academic & Teaching','Aryabhatt Bhawan II',12,19,22,2,Infrastructure
'two ceiling fans are not working in cl3 beside the canteen queue','Academic & Teaching','H5 Boys Hostel',17,71,50,3,Other
'wifi becomes extremely slow near cr425 between 9 00 and 11 00 please fix urgently','Academic & Teaching','Aryabhatt Bhawan II',9,84,30,1,Network
'wifi becomes extremely slow near cs1 between 10 00 and 12 00','Labs & Research','CL15',10,100,56,2,Network
'two ceiling fans are not working in ts17','Labs & Research','H5 Boys Hostel',18,45,86,3,Electrical
'garbage is overflowing in the corridor on floor 1','Academic & Teaching','Aryabhatt Bhawan III',15,76,66,4,Cleanliness
'garbage is overflowing in the corridor on floor 4','Academic & Teaching','H4 Boys Hostel',18,41,48,2,Cleanliness
'power socket near the desk is unsafe in ts17','Academic & Teaching','CL22',15,62,60,4,Electrical
'drinking water cooler near cr425 is empty','General & Utilities','Water cooler',11,70,70,1,Water
'unclassified campus issue reported around administration block near a water cooler','General & Utilities','Administration Block',11,87,36,3,Other
'wifi becomes extremely slow near ts17 between 10 00 and 12 00','Labs & Research','LRC',10,59,83,1,Network
'floor near aryabhatt bhawan iii is dirty and slippery','General & Utilities','H4 Boys Hostel',10,75,28,3,Cleanliness
'projector hdmi port is loose in ff6','Labs & Research','Aryabhatt Bhawan II',16,88,52,5,Infrastructure
'billing queue reaches the stairwell near annapurna / main mess students cannot continue class beside the canteen queue','Food','Annapurna / Main Mess',13,51,74,3,Canteen
'projector hdmi port is loose in ts17','Labs & Research','A2/2',14,27,68,3,Infrastructure
'water is leaking into the corridor on floor 4 this happens repeatedly','General & Utilities','Water cooler',15,64,93,3,Water
'spill outside cs1 creates a safety hazard','Academic & Teaching','Washrooms',10,24,44,4,Cleanliness
'very weak wifi signal on ground floor of cl15 students cannot continue class beside the canteen queue','Library & Study','CL15',10,50,56,3,Network
'air conditioner stops cooling after noon on floor 2','Labs & Research','H5 Boys Hostel',18,36,78,3,Electrical
'very weak wifi signal on floor 4 of cl15','Library & Study','CL15',11,63,50,2,Network
'food counter is overcrowded between 14 00 and 16 00','Food','Cafeteria / Canteen',14,72,28,3,Other
'internet disconnects repeatedly during the lecture in cs1 near a water cooler','Academic & Teaching','LRC',14,71,67,4,Network
'floor near h4 boys hostel is dirty and slippery near a water cooler','Academic & Teaching','H4 Boys Hostel',9,45,90,3,Cleanliness
'air conditioner stops cooling after noon on floor 1','Labs & Research','CL22',9,55,65,4,Electrical
'broken writing desk is blocking the aisle in cs1','Academic & Teaching','A2/2',8,37,41,3,Network
'network authentication fails for students around cl3','Library & Study','CL3',12,86,71,1,Network
'computer fails to boot during practical class in ts17','Labs & Research','CL1',8,68,73,2,Lab_Equipment
'broken writing desk is blocking the aisle in cl22','Labs & Research','Aryabhatt Bhawan II',10,62,44,2,Canteen
'classroom door and several chairs need repair on floor 3','Labs & Research','CL3',10,37,46,3,Infrastructure
'internet disconnects repeatedly during the lecture in cl3 after a power interruption','Academic & Teaching','Aryabhatt Bhawan II',14,91,59,3,Network
'laboratory equipment reports a calibration error in cr425','Labs & Research','ECE Labs',17,30,62,2,Lab_Equipment
'wifi becomes extremely slow near cl3 between 9 00 and 11 00 students cannot continue class','Academic & Teaching','Aryabhatt Bhawan II',9,90,51,2,Network
'air conditioner stops cooling after noon on floor 1','Labs & Research','H5 Boys Hostel',14,70,83,2,Electrical
'broken writing desk is blocking the aisle in cl15','Labs & Research','CL3',9,49,77,2,Infrastructure
'floor near washrooms is dirty and slippery','Academic & Teaching','Washrooms',18,92,50,2,Cleanliness
'three lab systems freeze during compilation in cs1','Labs & Research','CL22',18,65,80,2,Lab_Equipment
'internet disconnects repeatedly during the lecture in cl22','Academic & Teaching','CL3',12,54,54,5,Network
'lights flicker repeatedly inside ff6','Labs & Research','H5 Boys Hostel',11,59,44,3,Electrical
'network authentication fails for students around cl3','Library & Study','CL3',9,25,63,3,Network
'air conditioner stops cooling after noon on floor 1','Hostels','H5 Boys Hostel',13,55,80,2,Electrical
'projector hdmi port is loose in cs1 this happens repeatedly beside the canteen queue','Academic & Teaching','A2/1',18,79,63,4,Infrastructure
'network authentication fails for students around cl15','Library & Study','CL15',10,63,31,5,Network
'network authentication fails for students around aryabhatt bhawan ii this happens repeatedly','Library & Study','Aryabhatt Bhawan II',14,92,67,3,Network
'wifi becomes extremely slow near cr425 between 14 00 and 16 00 after a power interruption','Labs & Research','CL15',14,94,42,3,Network
'projector in cr425 switches off after ten minutes','Academic & Teaching','Aryabhatt Bhawan II',12,98,73,2,Infrastructure
'drinking water cooler near cr425 is empty','Hostels','Water cooler',15,75,46,4,Water
'classroom door and several chairs need repair on ground floor','Academic & Teaching','Aryabhatt Bhawan II',9,65,65,4,Canteen
'internet disconnects repeatedly during the lecture in cl22','Academic & Teaching','Aryabhatt Bhawan II',14,60,42,2,Network
'laboratory equipment reports a calibration error in ff6 while the wifi is also unstable','Labs & Research','CL22',11,36,83,3,Electrical
'laboratory equipment reports a calibration error in cl22','Labs & Research','CL1',16,64,50,2,Lab_Equipment
'floor near washrooms is dirty and slippery near a water cooler','General & Utilities','Washrooms',9,51,89,2,Cleanliness
'waiting time at annapurna / main mess is more than twenty minutes','Food','Annapurna / Main Mess',14,84,65,4,Canteen
'wifi becomes extremely slow near cr425 between 10 00 and 12 00','Labs & Research','Aryabhatt Bhawan II',10,100,49,2,Network
'three lab systems freeze during compilation in ts17','Labs & Research','CL22',11,38,59,1,Lab_Equipment
'very weak wifi signal on floor 4 of aryabhatt bhawan ii','Academic & Teaching','Aryabhatt Bhawan II',10,100,61,2,Network
'air conditioner stops cooling after noon on floor 1','Academic & Teaching','H5 Boys Hostel',9,39,64,2,Electrical
'food counter is overcrowded between 14 00 and 16 00 beside the canteen queue','Food','Annapurna / Main Mess',14,71,64,2,Canteen
'waiting time at cafeteria / canteen is more than twenty minutes after a power interruption','Food','Cafeteria / Canteen',13,62,40,2,Canteen
'very weak wifi signal on floor 4 of aryabhatt bhawan ii','Labs & Research','Aryabhatt Bhawan II',9,70,68,2,Electrical
'projector in cl3 switches off after ten minutes','Academic & Teaching','Aryabhatt Bhawan II',15,71,50,1,Infrastructure
'classroom door and several chairs need repair on floor 3','Labs & Research','A2/2',12,40,58,2,Infrastructure
'floor near aryabhatt bhawan iii is dirty and slippery','Academic & Teaching','Aryabhatt Bhawan III',15,66,45,2,Cleanliness
'canteen queue is very long at 14 00 with one counter open','Food','Cafeteria / Canteen',14,56,37,3,Canteen
'parking congestion blocks the entrance near administration block while the wifi is also unstable','Sports & Recreation','Administration Block',14,34,35,2,Other
'very weak wifi signal on floor 4 of aryabhatt bhawan ii','Academic & Teaching','Aryabhatt Bhawan II',11,61,40,2,Network
'wifi becomes extremely slow near cl22 between 10 00 and 12 00 this happens repeatedly','Labs & Research','CL15',10,90,33,1,Network
'very weak wifi signal on ground floor of cl3 and the room is overcrowded','Labs & Research','CL3',14,87,44,3,Network
'floor near h4 boys hostel is dirty and slippery near a water cooler','General & Utilities','H4 Boys Hostel',8,72,80,5,Cleanliness
'canteen queue is very long at 14 00 with one counter open','Food','Cafeteria / Canteen',14,59,68,2,Canteen
'monitor and keyboard are not detected at workstation in cr425 near a water cooler','Labs & Research','CL22',13,57,82,3,Lab_Equipment
'very weak wifi signal on ground floor of cl15','Labs & Research','CL15',10,73,84,3,Network
'very weak wifi signal on floor 1 of cl3','Academic & Teaching','CL3',9,89,53,3,Network
'very weak wifi signal on floor 2 of cl3','Labs & Research','CL3',12,93,58,5,Network
'monitor and keyboard are not detected at workstation in ts17 students cannot continue class','Labs & Research','ECE Labs',12,58,38,2,Lab_Equipment
'canteen queue is very long at 13 00 with one counter open','Food','Cafeteria / Canteen',13,76,57,1,Water
'waiting time at cafeteria / canteen is more than twenty minutes while the wifi is also unstable','Food','Cafeteria / Canteen',14,94,47,3,Canteen
'unclassified campus issue reported around parking beside the canteen queue','General & Utilities','Parking',15,52,50,4,Other
'internet disconnects repeatedly during the lecture in ff6 students cannot continue class','Academic & Teaching','Aryabhatt Bhawan II',11,65,70,3,Network
'wifi becomes extremely slow near ff6 between 11 00 and 13 00 beside the canteen queue','Labs & Research','CL15',11,75,73,2,Network
'projector hdmi port is loose in ff6','Labs & Research','A2/1',13,50,35,3,Infrastructure
'washroom near cl22 has not been cleaned today','Hostels','Washrooms',14,51,60,4,Cleanliness
'projector in ff6 switches off after ten minutes','Academic & Teaching','A2/2',14,86,67,2,Infrastructure
'food counter is overcrowded between 13 00 and 15 00 students cannot continue class','Food','Annapurna / Main Mess',13,75,20,4,Canteen
'internet disconnects repeatedly during the lecture in cl15 after a power interruption','Labs & Research','LRC',12,42,35,3,Network
'canteen queue is very long at 14 00 with one counter open','Food','Cafeteria / Canteen',14,77,47,1,Canteen
'unclassified campus issue reported around parking please fix urgently after a power interruption','Administration','Parking',16,22,67,1,Other
'water point near water cooler is not operational','Sports & Recreation','Water cooler',14,52,94,3,Water
'spill outside cl15 creates a safety hazard near a water cooler','Hostels','Aryabhatt Bhawan III',11,37,46,3,Cleanliness
'parking congestion blocks the entrance near auditorium','Administration','Auditorium',17,66,65,2,Other
'canteen queue is very long at 12 00 with one counter open','Food','Cafeteria / Canteen',12,100,64,2,Canteen
'three lab systems freeze during compilation in cr425 while the wifi is also unstable','Labs & Research','CL15',11,63,49,1,Lab_Equipment
'broken writing desk is blocking the aisle in ff6','Labs & Research','A2/1',10,80,46,3,Infrastructure
'garbage is overflowing in the corridor on ground floor','Hostels','Washrooms',12,53,66,2,Cleanliness
'projector hdmi port is loose in ff6','Labs & Research','CL3',15,22,72,5,Infrastructure
'air conditioner stops cooling after noon on floor 2 near a water cooler','Labs & Research','H5 Boys Hostel',17,60,64,1,Electrical
'very weak wifi signal on floor 4 of lrc please fix urgently','Academic & Teaching','LRC',12,92,45,1,Network
'spill outside g2 creates a safety hazard near a water cooler','Hostels','Washrooms',12,66,47,5,Cleanliness
'two ceiling fans are not working in ts17 students cannot continue class beside the canteen queue','Hostels','A2/1',17,82,53,3,Electrical
'student common area is overcrowded after 13 00','Administration','Parking',13,71,48,1,Other
'floor near washrooms is dirty and slippery after a power interruption','General & Utilities','Washrooms',12,79,60,2,Cleanliness
'internet disconnects repeatedly during the lecture in cl22','Library & Study','CL15',14,70,87,2,Network
'projector hdmi port is loose in cl3','Labs & Research','A2/2',10,62,46,5,Infrastructure
'very weak wifi signal on floor 1 of cl15','Library & Study','CL15',9,87,54,1,Network
'classroom door and several chairs need repair on floor 3','Academic & Teaching','Aryabhatt Bhawan II',17,54,59,2,Infrastructure
'wifi becomes extremely slow near ts17 between 11 00 and 13 00 this happens repeatedly','Labs & Research','CL3',11,100,42,2,Network
'billing queue reaches the stairwell near cafeteria / canteen','Food','Cafeteria / Canteen',13,100,57,2,Canteen
'monitor and keyboard are not detected at workstation in cl3','Labs & Research','CL3',13,46,72,3,Lab_Equipment
'classroom door and several chairs need repair on floor 4 please fix urgently near a water cooler','Labs & Research','CL3',14,71,65,3,Infrastructure
'very weak wifi signal on ground floor of cl15','Library & Study','CL15',10,62,61,3,Network
'canteen queue is very long at 12 00 with one counter open','Food','Cafeteria / Canteen',12,70,53,4,Canteen
'water is leaking into the corridor on floor 1','Sports & Recreation','Water cooler',18,51,38,1,Water
'broken writing desk is blocking the aisle in ts17','Academic & Teaching','A2/1',14,78,64,5,Infrastructure
'network authentication fails for students around cl15','Library & Study','CL15',10,78,20,4,Network
'broken writing desk is blocking the aisle in cr425','Labs & Research','Aryabhatt Bhawan II',17,50,30,2,Infrastructure
'wifi becomes extremely slow near cl22 between 10 00 and 12 00','Labs & Research','CL3',10,73,46,3,Network
'waiting time at cafeteria / canteen is more than twenty minutes','Food','Cafeteria / Canteen',14,44,49,1,Canteen
'air conditioner stops cooling after noon on ground floor while the wifi is also unstable','Academic & Teaching','H5 Boys Hostel',18,38,76,2,Electrical
'network authentication fails for students around aryabhatt bhawan ii','Library & Study','Aryabhatt Bhawan II',10,46,26,3,Network
'very weak wifi signal on floor 4 of aryabhatt bhawan ii and the room is overcrowded','Academic & Teaching','Aryabhatt Bhawan II',9,69,51,2,Network
'network authentication fails for students around cl3 and the room is overcrowded','Library & Study','CL3',11,53,57,2,Network
'signage is missing for cl15 on floor 4','General & Utilities','Auditorium',15,63,58,1,Electrical
'network authentication fails for students around cl15','Academic & Teaching','CL15',14,62,80,1,Network
'lights flicker repeatedly inside cl22 and the room is overcrowded','Hostels','CL22',15,72,54,2,Electrical
'floor near washrooms is dirty and slippery','Hostels','Washrooms',12,38,47,4,Cleanliness
'laboratory equipment reports a calibration error in g2 students cannot continue class','Labs & Research','CL22',10,51,48,1,Water
'projector in cl15 switches off after ten minutes','Labs & Research','A2/2',9,70,41,2,Infrastructure
'spill outside cr425 creates a safety hazard','Academic & Teaching','Aryabhatt Bhawan III',16,33,33,2,Cleanliness
'garbage is overflowing in the corridor on floor 4','General & Utilities','H4 Boys Hostel',11,55,51,2,Cleanliness
'internet disconnects repeatedly during the lecture in cr425','Labs & Research','LRC',10,83,55,3,Network
'network authentication fails for students around aryabhatt bhawan ii','Academic & Teaching','Aryabhatt Bhawan II',11,78,52,2,Network
'low water pressure reported around swimming pool after a power interruption','Hostels','Swimming Pool',18,65,44,2,Water
'internet disconnects repeatedly during the lecture in cs1 beside the canteen queue','Library & Study','CL15',10,43,32,3,Network
'internet disconnects repeatedly during the lecture in cr425','Labs & Research','CL15',9,81,75,3,Network
'classroom door and several chairs need repair on floor 4','Academic & Teaching','CL3',14,13,49,3,Infrastructure
'wifi becomes extremely slow near cr425 between 11 00 and 13 00','Academic & Teaching','CL3',11,87,67,5,Network
'classroom door and several chairs need repair on floor 4','Labs & Research','Aryabhatt Bhawan II',14,76,50,4,Infrastructure
'classroom door and several chairs need repair on ground floor','Academic & Teaching','A2/1',8,48,75,5,Infrastructure
'very weak wifi signal on floor 1 of aryabhatt bhawan ii this happens repeatedly','Academic & Teaching','Aryabhatt Bhawan II',11,56,65,1,Network
'wifi becomes extremely slow near ts17 between 12 00 and 14 00 please fix urgently','Academic & Teaching','LRC',12,65,40,5,Network
'billing queue reaches the stairwell near cafeteria / canteen','Food','Cafeteria / Canteen',14,44,58,1,Canteen
'washroom near cl15 has not been cleaned today','Hostels','Washrooms',13,68,47,4,Cleanliness
'drinking water cooler near ts17 is empty','General & Utilities','Girls Hostel',14,48,41,2,Water
'canteen queue is very long at 13 00 with one counter open','Food','Cafeteria / Canteen',13,72,43,3,Canteen
'lights flicker repeatedly inside cs1 this happens repeatedly','Hostels','H5 Boys Hostel',13,49,91,1,Electrical
'two ceiling fans are not working in cl3','Labs & Research','A2/1',18,52,67,2,Electrical
'internet disconnects repeatedly during the lecture in g2','Labs & Research','LRC',10,93,66,2,Network
'broken writing desk is blocking the aisle in ts17 students cannot continue class and the room is overcrowded','Academic & Teaching','Aryabhatt Bhawan II',14,54,55,3,Network
'power socket near the desk is unsafe in ff6','Academic & Teaching','CL22',12,40,51,5,Electrical
'wifi becomes extremely slow near ff6 between 14 00 and 16 00','Library & Study','CL15',14,62,73,2,Network
'two ceiling fans are not working in cl22','Labs & Research','H5 Boys Hostel',17,82,56,2,Electrical
'very weak wifi signal on floor 2 of cl15','Academic & Teaching','CL15',10,94,51,1,Network
'spill outside g2 creates a safety hazard beside the canteen queue','Academic & Teaching','H4 Boys Hostel',16,55,44,2,Cleanliness
'two ceiling fans are not working in ts17 please fix urgently','Labs & Research','H5 Boys Hostel',15,54,54,4,Canteen
'internet disconnects repeatedly during the lecture in cr425','Academic & Teaching','CL15',14,48,94,3,Network
'wifi becomes extremely slow near cr425 between 14 00 and 16 00','Library & Study','CL3',14,79,43,3,Network
'billing queue reaches the stairwell near annapurna / main mess','Food','Annapurna / Main Mess',13,81,57,2,Canteen
'billing queue reaches the stairwell near cafeteria / canteen','Food','Cafeteria / Canteen',13,83,22,3,Canteen
'projector hdmi port is loose in cl3','Labs & Research','A2/2',11,52,64,3,Infrastructure
'power socket near the desk is unsafe in g2','Academic & Teaching','H5 Boys Hostel',8,63,49,3,Electrical
'wifi becomes extremely slow near cl3 between 9 00 and 11 00','Labs & Research','CL15',9,96,48,3,Network
'very weak wifi signal on floor 2 of lrc and the room is overcrowded','Academic & Teaching','LRC',9,83,50,2,Network
'very weak wifi signal on floor 3 of lrc','Labs & Research','LRC',11,48,31,1,Network
'floor near h4 boys hostel is dirty and slippery','General & Utilities','H4 Boys Hostel',10,45,83,4,Lab_Equipment
'washroom near cr425 has not been cleaned today','Academic & Teaching','H4 Boys Hostel',16,26,57,2,Cleanliness
'three lab systems freeze during compilation in g2','Labs & Research','CL22',10,74,67,1,Lab_Equipment
