@RELATION campuslens_complaints_v2

@ATTRIBUTE complaint STRING
@ATTRIBUTE facility_type {academic,lab,library,food,hostel,office,common,outdoor,utility,sports}
@ATTRIBUTE hour NUMERIC
@ATTRIBUTE occupancy NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE impact NUMERIC
@ATTRIBUTE category {Network,Infrastructure,Cleanliness,Canteen,Electrical,Lab_Equipment,Water,Other}

@DATA
'an urgent maintenance check is needed because the lunch rush is blocking the entrance in cs1 the food service operation is affected and several students are affected at 13:40 case 79',academic,13,62,64,1,Canteen
'students report that directional signage is unclear for new students in gh corridor 1 campus operations are being disrupted and the condition has become more frequent at 8:47 case 80',hostel,8,75,51,2,Other
'students report that the wifi signal is unstable for several devices in cl3-b and the condition has become more frequent after normal troubleshooting was attempted at 9:51 case 81',lab,9,97,61,2,Network
'an urgent maintenance check is needed because the lunch rush is blocking the entrance in visitor parking during a regular teaching period without any warning notice at 16:11 case 82',outdoor,16,59,60,2,Canteen
'students report that the wifi signal is unstable for several devices in cr201 during a regular teaching period while another campus service remains normal at 10:29 case 83',academic,10,63,50,1,Network
'please investigate because the drinking-water dispenser is empty in h5 corridor 2 the water service needs attention while the area is moderately occupied at 14:13 case 84',hostel,14,57,62,3,Water
'students report that the wifi signal is unstable for several devices in gh common room without any warning notice without any warning notice at 8:36 case 85',hostel,8,26,73,3,Network
'today we noticed that ceiling plaster appears loose near the entrance in dining hall the physical infrastructure needs attention after normal troubleshooting was attempted at 18:00 case 86',food,18,56,35,1,Infrastructure
'a repeated observation is that a campus service is unavailable without an explanation in cl1-b campus operations are being disrupted and the condition has become more frequent at 14:49 case 87',lab,14,67,44,2,Other
'please investigate because parking congestion is blocking access in cl22-a campus operations are being disrupted near the main entrance to the space at 12:36 case 88',lab,12,63,54,3,Other
'a repeated observation is that the wash area needs urgent sanitation in reading hall and it interrupts scheduled teaching while another campus service remains normal at 14:45 case 89',library,14,76,44,2,Cleanliness
'an urgent maintenance check is needed because signage for the room is missing in h5 corridor 2 the physical infrastructure needs attention and several students are affected at 12:56 case 90',hostel,12,55,50,2,Infrastructure
'an urgent maintenance check is needed because the lab printer is unavailable to student systems in washroom 1 while another campus service remains normal and the issue lasts more than ten minutes at 11:08 case 92',utility,11,77,57,4,Lab_Equipment
'today we noticed that the notice board contains outdated information in cr102 without any warning notice and it interrupts scheduled teaching at 17:50 case 93',academic,17,33,30,5,Other
'please investigate because the drinking-water dispenser is empty in cl1-b and several students are affected without any warning notice at 16:52 case 94',lab,16,20,51,3,Water
'a repeated observation is that the queue extends into the walking area in g5 the food service operation is affected although nearby rooms remain usable at 8:35 case 95',academic,8,55,50,2,Canteen
'a repeated observation is that laboratory equipment reports a calibration error in h5 corridor 2 and several students are affected although nearby rooms remain usable at 13:25 case 96',hostel,13,60,44,3,Lab_Equipment
'during the latest session the common area is overcrowded in g2 near the main entrance to the space during a regular teaching period at 13:19 case 97',academic,13,64,51,1,Other
'during the latest session lights flicker repeatedly during use in food court the electrical supply needs inspection although nearby rooms remain usable at 14:09 case 98',food,14,67,76,4,Electrical
'for the second time this week the ventilation fan does not start in cl15-a and the issue lasts more than ten minutes and staff assistance has been requested at 8:58 case 99',lab,8,74,55,4,Electrical
'students report that only one billing counter is open during the rush in cr201 the food service operation is affected although nearby rooms remain usable at 10:09 case 100',academic,10,45,72,3,Canteen
'staff were informed that billing and collection lines are merging into one queue in cr101 the food service operation is affected during a regular teaching period at 13:50 case 101',academic,13,69,56,4,Canteen
'staff were informed that billing and collection lines are merging into one queue in cl15-b although nearby rooms remain usable and the issue lasts more than ten minutes at 9:28 case 102',lab,9,31,91,3,Canteen
'students report that waste bins are overflowing into the corridor in gh corridor 1 and several students are affected and several students are affected at 14:08 case 103',hostel,14,76,59,1,Cleanliness
'please investigate because parking congestion is blocking access in g3 after normal troubleshooting was attempted without any warning notice at 16:44 case 105',academic,16,55,33,1,Other
'a repeated observation is that a power socket is loose and unsafe in g1 while the area is moderately occupied while another campus service remains normal at 11:27 case 106',academic,11,45,58,4,Electrical
'staff were informed that online resources time out during the session in reception and it interrupts scheduled teaching and the issue lasts more than ten minutes at 13:34 case 108',office,13,80,60,1,Network
'please investigate because the service queue is moving very slowly in cl3-a while the area is moderately occupied without any warning notice at 17:19 case 110',lab,17,55,65,4,Canteen
'students report that water is leaking into the walking area in ff6 the water service needs attention and staff assistance has been requested at 9:51 case 111',academic,9,58,43,2,Water
'staff were informed that billing and collection lines are merging into one queue in billing counter the food service operation is affected while the area is moderately occupied at 16:06 case 113',food,16,73,72,3,Canteen
'during the latest session lights flicker repeatedly during use in h5 common room the electrical supply needs inspection and it interrupts scheduled teaching at 17:41 case 114',hostel,17,81,42,1,Electrical
'an urgent maintenance check is needed because pedestrian movement is restricted by stored material in group study campus operations are being disrupted while another campus service remains normal at 18:06 case 115',library,18,57,51,3,Other
'an urgent maintenance check is needed because the lunch rush is blocking the entrance in visitor parking after normal troubleshooting was attempted and the issue lasts more than ten minutes at 10:58 case 116',outdoor,10,70,48,3,Canteen
'today we noticed that network coverage disappears near the back rows in basketball court the network service is affected without any warning notice at 13:13 case 117',sports,13,54,39,2,Network
'today we noticed that multiple computers show storage errors in ff6 laboratory equipment availability is affected while the area is moderately occupied at 10:01 case 118',academic,10,32,50,2,Lab_Equipment
'students report that several desks have loose or damaged fittings in g2 while another campus service remains normal near the main entrance to the space at 12:10 case 119',academic,12,59,63,4,Infrastructure
'a repeated observation is that a power socket is loose and unsafe in cr202 the electrical supply needs inspection near the main entrance to the space at 12:59 case 120',academic,12,48,46,4,Electrical
'staff were informed that the experiment console does not record readings in gate 1 laboratory equipment availability is affected while the area is moderately occupied at 17:58 case 121',outdoor,17,65,68,4,Lab_Equipment
'students report that several desks have loose or damaged fittings in g2 during a regular teaching period without any warning notice at 16:48 case 122',academic,16,89,55,2,Infrastructure
'staff were informed that a tap continues running after it is closed in cl22-a the water service needs attention during a regular teaching period at 15:39 case 123',lab,15,51,52,1,Water
'please investigate because the drinking-water dispenser is empty in ts11 although nearby rooms remain usable while the area is moderately occupied at 11:05 case 124',academic,11,76,77,1,Water
'for the second time this week the wired connection cannot reach institute services in h5 corridor 2 and the condition has become more frequent during a regular teaching period at 10:00 case 125',hostel,10,96,59,3,Network
'for the second time this week the cleaning schedule appears to have been missed in cl15-a while another campus service remains normal and the condition has become more frequent at 10:16 case 126',lab,10,52,60,2,Cleanliness
'today we noticed that charging points are unavailable in ff6 without any warning notice and the issue lasts more than ten minutes at 9:43 case 127',academic,9,61,40,4,Electrical
'staff were informed that the writing surface is damaged and difficult to use in cr101 without any warning notice while the area is moderately occupied at 17:02 case 128',academic,17,67,61,2,Infrastructure
'a repeated observation is that the queue extends into the walking area in ts11 while another campus service remains normal and the issue lasts more than ten minutes at 12:03 case 129',academic,12,75,49,2,Canteen
'for the second time this week the cleaning schedule appears to have been missed in g2 this is a hygiene and cleanliness concern while another campus service remains normal at 8:24 case 130',academic,8,52,40,3,Cleanliness
'a repeated observation is that the queue extends into the walking area in food court the food service operation is affected while another campus service remains normal at 10:01 case 131',food,10,41,57,1,Canteen
'during the latest session students cannot authenticate to the wireless network in cl3-b the network service is affected while the area is moderately occupied at 16:53 case 132',lab,16,59,56,5,Network
'a repeated observation is that the nearest water point is not operational in indoor court the water service needs attention during a regular teaching period at 17:15 case 133',sports,17,53,57,2,Water
'today we noticed that network coverage disappears near the back rows in visitor parking while the area is moderately occupied and the condition has become more frequent at 17:26 case 134',outdoor,17,80,53,4,Network
'please investigate because the service queue is moving very slowly in gym the food service operation is affected and staff assistance has been requested at 18:56 case 135',sports,18,66,45,3,Canteen
'during the latest session a spill has made the floor slippery in cooler b and the condition has become more frequent without any warning notice at 14:25 case 136',utility,14,52,44,3,Cleanliness
'students report that the wifi signal is unstable for several devices in digital area and several students are affected without any warning notice at 8:00 case 137',library,8,59,46,1,Network
'for the second time this week the help desk is closed during published hours in g2 campus operations are being disrupted after normal troubleshooting was attempted at 9:19 case 139',academic,9,77,65,4,Other
'a repeated observation is that laboratory equipment reports a calibration error in cl15-a and the condition has become more frequent after normal troubleshooting was attempted at 8:01 case 141',lab,8,55,43,1,Lab_Equipment
'students report that a monitor and keyboard are not detected in h5 corridor 2 without any warning notice while the area is moderately occupied at 9:36 case 142',hostel,9,56,70,4,Lab_Equipment
'please investigate because the service queue is moving very slowly in dining hall and the condition has become more frequent and the condition has become more frequent at 14:55 case 143',food,14,58,58,1,Network
'during the latest session students cannot authenticate to the wireless network in indoor court the network service is affected after normal troubleshooting was attempted at 14:35 case 144',sports,14,91,49,1,Network
'staff were informed that billing and collection lines are merging into one queue in cl1-a the food service operation is affected near the main entrance to the space at 15:47 case 145',lab,15,47,71,4,Canteen
'today we noticed that seating capacity is insufficient during the meal break in g3 the food service operation is affected while another campus service remains normal at 13:02 case 146',academic,13,79,43,4,Canteen
'staff were informed that dust and litter remain around the workstations in gh common room although nearby rooms remain usable and staff assistance has been requested at 11:10 case 149',hostel,11,79,48,3,Cleanliness
'please investigate because the projector loses its input after a few minutes in g6 the physical infrastructure needs attention and it interrupts scheduled teaching at 14:11 case 150',academic,14,50,64,2,Infrastructure
'students report that the air conditioner stops cooling after midday in digital area the electrical supply needs inspection during a regular teaching period at 9:37 case 151',library,9,63,76,2,Electrical
'staff were informed that online resources time out during the session in cooler b after normal troubleshooting was attempted after normal troubleshooting was attempted at 18:40 case 152',utility,18,64,81,4,Network
'please investigate because the ceiling fans are not operating in group study and the issue lasts more than ten minutes while another campus service remains normal at 17:22 case 156',library,17,65,54,3,Electrical
'during the latest session lights flicker repeatedly during use in cr202 while another campus service remains normal after normal troubleshooting was attempted at 11:50 case 157',academic,11,67,63,2,Electrical
'today we noticed that the refill indicator has remained empty in gate 1 the water service needs attention although nearby rooms remain usable at 15:38 case 158',outdoor,15,63,53,1,Water
'during the latest session students are waiting too long for food service in h4 common room the food service operation is affected without any warning notice at 17:01 case 159',hostel,17,81,36,2,Canteen
'during the latest session a spill has made the floor slippery in cl3-b while another campus service remains normal and the issue lasts more than ten minutes at 14:38 case 160',lab,14,84,62,2,Cleanliness
'today we noticed that multiple computers show storage errors in h5 corridor 1 near the main entrance to the space and the condition has become more frequent at 17:12 case 161',hostel,17,50,66,1,Lab_Equipment
'for the second time this week the device driver is missing from the workstation in cl1-a laboratory equipment availability is affected after normal troubleshooting was attempted at 11:16 case 162',lab,11,70,60,2,Lab_Equipment
'students report that several desks have loose or damaged fittings in h5 corridor 2 during a regular teaching period and staff assistance has been requested at 12:40 case 163',hostel,12,90,45,5,Infrastructure
'staff were informed that online resources time out during the session in ts12 the network service is affected and several students are affected at 17:28 case 164',academic,17,75,72,1,Network
'today we noticed that the refill indicator has remained empty in cs1 the water service needs attention after normal troubleshooting was attempted at 9:19 case 165',academic,9,100,58,1,Water
'during the latest session a spill has made the floor slippery in cl3-b after normal troubleshooting was attempted and several students are affected at 10:52 case 166',lab,10,65,63,2,Cleanliness
'today we noticed that charging points are unavailable in security post although nearby rooms remain usable while another campus service remains normal at 14:58 case 167',outdoor,14,57,85,5,Electrical
'today we noticed that seating capacity is insufficient during the meal break in student parking and it interrupts scheduled teaching while another campus service remains normal at 10:48 case 168',outdoor,10,17,68,2,Canteen
'for the second time this week the ventilation fan does not start in g1 the electrical supply needs inspection and the condition has become more frequent at 11:13 case 169',academic,11,50,20,1,Electrical
'for the second time this week the lecture-room screen does not lower correctly in ts18 and staff assistance has been requested and the condition has become more frequent at 13:31 case 170',academic,13,70,58,3,Infrastructure
'during the latest session water pressure is too low for normal use in food court the water service needs attention after normal troubleshooting was attempted at 15:51 case 171',food,15,68,62,4,Water
'an urgent maintenance check is needed because video lectures buffer on the campus connection in food court and it interrupts scheduled teaching after normal troubleshooting was attempted at 10:06 case 172',food,10,55,57,2,Network
'students report that directional signage is unclear for new students in security post campus operations are being disrupted while the area is moderately occupied at 18:43 case 176',outdoor,18,66,68,2,Other
'today we noticed that charging points are unavailable in cl22-a while another campus service remains normal and it interrupts scheduled teaching at 8:42 case 177',lab,8,64,66,2,Electrical
'staff were informed that an electrical panel is making an unusual sound in g2 the electrical supply needs inspection and staff assistance has been requested at 8:00 case 179',academic,8,24,80,2,Electrical
'today we noticed that seating capacity is insufficient during the meal break in dining hall the food service operation is affected during a regular teaching period at 13:01 case 180',food,13,94,52,4,Canteen
'please investigate because the area has not been cleaned since the morning in ece-202 this is a hygiene and cleanliness concern and several students are affected at 9:32 case 183',lab,9,39,63,1,Cleanliness
'a repeated observation is that the nearest water point is not operational in g6 and several students are affected and the issue lasts more than ten minutes at 16:31 case 184',academic,16,70,56,5,Water
'students report that directional signage is unclear for new students in gate 1 and the condition has become more frequent while the area is moderately occupied at 9:55 case 187',outdoor,9,24,66,5,Other
'students report that water is leaking into the walking area in h5 corridor 2 during a regular teaching period and it interrupts scheduled teaching at 18:45 case 188',hostel,18,58,62,3,Water
'students report that the wifi signal is unstable for several devices in cooler a and staff assistance has been requested while another campus service remains normal at 18:35 case 189',utility,18,48,63,2,Network
'during the latest session students cannot authenticate to the wireless network in h5 common room the network service is affected and the issue lasts more than ten minutes at 8:20 case 190',hostel,8,64,45,4,Network
'a repeated observation is that internet speed falls below a usable level in ts11 the network service is affected and the issue lasts more than ten minutes at 18:23 case 191',academic,18,23,68,3,Network
'please investigate because the projector loses its input after a few minutes in g6 and it interrupts scheduled teaching and several students are affected at 8:02 case 192',academic,8,44,55,4,Infrastructure
'a repeated observation is that a power socket is loose and unsafe in ts18 the electrical supply needs inspection and it interrupts scheduled teaching at 12:21 case 193',academic,12,63,48,3,Electrical
'an urgent maintenance check is needed because a switchboard becomes warm during operation in g2 the electrical supply needs inspection and the condition has become more frequent at 8:42 case 194',academic,8,55,55,2,Electrical
'a repeated observation is that internet speed falls below a usable level in h4 corridor 1 and several students are affected and the condition has become more frequent at 16:56 case 195',hostel,16,50,36,2,Network
'a repeated observation is that internet speed falls below a usable level in academic office and staff assistance has been requested and several students are affected at 8:16 case 197',office,8,70,44,2,Network
'a repeated observation is that internet speed falls below a usable level in h4 corridor 1 the network service is affected near the main entrance to the space at 18:38 case 198',hostel,18,57,54,3,Network
'students report that only one billing counter is open during the rush in dining hall while another campus service remains normal and it interrupts scheduled teaching at 16:39 case 199',food,16,52,65,3,Canteen
'during the latest session lights flicker repeatedly during use in visitor parking the electrical supply needs inspection after normal troubleshooting was attempted at 18:44 case 200',outdoor,18,52,53,4,Electrical
'today we noticed that seating capacity is insufficient during the meal break in h4 corridor 1 the food service operation is affected during a regular teaching period at 14:02 case 201',hostel,14,75,35,1,Canteen
'staff were informed that billing and collection lines are merging into one queue in ts17 although nearby rooms remain usable although nearby rooms remain usable at 14:05 case 202',academic,14,67,57,2,Canteen
'a repeated observation is that a power socket is loose and unsafe in gh common room and several students are affected while another campus service remains normal at 16:08 case 203',hostel,16,69,80,2,Electrical
'an urgent maintenance check is needed because signage for the room is missing in cr202 the physical infrastructure needs attention after normal troubleshooting was attempted at 13:14 case 204',academic,13,100,76,4,Electrical
'staff were informed that an unattended item is obstructing the walkway in main hall campus operations are being disrupted although nearby rooms remain usable at 12:55 case 206',common,12,76,54,3,Other
'an urgent maintenance check is needed because a switchboard becomes warm during operation in indoor court near the main entrance to the space although nearby rooms remain usable at 17:57 case 207',sports,17,54,66,2,Canteen
'staff were informed that the experiment console does not record readings in cs2 laboratory equipment availability is affected during a regular teaching period at 17:22 case 208',academic,17,68,49,1,Lab_Equipment
'please investigate because the projector loses its input after a few minutes in gh corridor 1 the physical infrastructure needs attention and the condition has become more frequent at 8:23 case 209',hostel,8,82,48,2,Network
'staff were informed that online resources time out during the session in cl22-b during a regular teaching period and staff assistance has been requested at 15:45 case 210',lab,15,34,48,4,Network
'students report that directional signage is unclear for new students in ts11 without any warning notice and several students are affected at 13:46 case 211',academic,13,72,36,2,Other
'for the second time this week the cleaning schedule appears to have been missed in academic office and it interrupts scheduled teaching while the area is moderately occupied at 10:57 case 213',office,10,54,59,1,Cleanliness
'for the second time this week the cleaning schedule appears to have been missed in ece-201 after normal troubleshooting was attempted near the main entrance to the space at 13:49 case 214',lab,13,63,38,4,Cleanliness
'today we noticed that the corridor has a persistent hygiene problem in main hall although nearby rooms remain usable and staff assistance has been requested at 16:01 case 215',common,16,73,54,4,Cleanliness
'for the second time this week the wired connection cannot reach institute services in main hall the network service is affected while the area is moderately occupied at 17:04 case 216',common,17,61,54,3,Network
'a repeated observation is that a power socket is loose and unsafe in ts11 the electrical supply needs inspection although nearby rooms remain usable at 16:15 case 217',academic,16,72,44,5,Electrical
'for the second time this week order processing has stopped at one counter in ts18 during a regular teaching period and staff assistance has been requested at 14:03 case 220',academic,14,73,59,1,Canteen
'staff were informed that online resources time out during the session in cl3-b the network service is affected and the condition has become more frequent at 13:18 case 221',lab,13,97,65,4,Network
'an urgent maintenance check is needed because the lab printer is unavailable to student systems in ece-201 and it interrupts scheduled teaching and the condition has become more frequent at 11:33 case 222',lab,11,62,47,4,Lab_Equipment
'students report that only one billing counter is open during the rush in indoor court and staff assistance has been requested near the main entrance to the space at 16:08 case 223',sports,16,61,74,3,Canteen
'during the latest session the classroom door cannot close safely in gh common room after normal troubleshooting was attempted near the main entrance to the space at 18:24 case 226',hostel,18,68,55,3,Infrastructure
'please investigate because the area has not been cleaned since the morning in ff6 this is a hygiene and cleanliness concern and it interrupts scheduled teaching at 12:46 case 227',academic,12,68,54,4,Cleanliness
'students report that the wifi signal is unstable for several devices in washroom 1 without any warning notice and staff assistance has been requested at 15:13 case 228',utility,15,90,55,3,Network
'please investigate because the projector loses its input after a few minutes in ts18 and the issue lasts more than ten minutes while the area is moderately occupied at 16:54 case 230',academic,16,43,47,3,Infrastructure
'today we noticed that the refill indicator has remained empty in digital area while the area is moderately occupied and several students are affected at 15:12 case 232',library,15,40,46,1,Water
'for the second time this week the device driver is missing from the workstation in cl15-a laboratory equipment availability is affected while another campus service remains normal at 9:35 case 233',lab,9,81,75,3,Lab_Equipment
'staff were informed that billing and collection lines are merging into one queue in g5 the food service operation is affected while the area is moderately occupied at 14:56 case 234',academic,14,70,54,4,Canteen
'students report that several desks have loose or damaged fittings in h5 corridor 2 after normal troubleshooting was attempted without any warning notice at 17:26 case 235',hostel,17,64,55,2,Infrastructure
'an urgent maintenance check is needed because signage for the room is missing in gym and it interrupts scheduled teaching and several students are affected at 15:37 case 236',sports,15,55,80,2,Infrastructure
'students report that the wifi signal is unstable for several devices in cl3-b the network service is affected after normal troubleshooting was attempted at 13:11 case 237',lab,13,92,33,2,Network
'students report that a monitor and keyboard are not detected in cooler a laboratory equipment availability is affected near the main entrance to the space at 16:34 case 238',utility,16,74,43,4,Lab_Equipment
